,predicted_power
0,0.5574620366096497
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.8231178820133209
10,47.57388299703598
11,468.4924592971802
12,671.4686985015869
13,794.9622707366943
14,516.003342628479
15,482.4652452468872
16,205.81773123145103
17,3.8859245777130127
18,0.0
19,0.0
20,0.0
21,0.022755861282348633
22,0.5155885219573975
23,18.162449598312378
