month,date,time,day,active_energy
7,11,2,0,87.2
7,11,3,0,87.2
7,11,4,0,87.2
7,11,5,0,87.3
7,11,6,0,87.3
7,11,7,0,87.3
7,11,8,0,87.4
7,11,9,0,87.4
7,11,10,0,87.5
7,11,11,0,87.5
7,11,12,0,87.6
7,11,13,0,87.6
7,11,14,0,87.7
7,11,15,0,87.7
7,11,16,0,87.8
7,11,17,0,87.9
7,11,18,0,87.9
7,11,19,0,88.0
7,11,20,0,88.0
7,11,21,0,88.1
7,11,22,0,88.2
7,11,23,0,88.2
7,12,0,0,88.3
7,12,1,0,88.4
7,12,3,0,88.5
7,12,4,0,88.5
7,12,5,0,88.5
7,12,6,0,88.6
7,12,7,0,88.6
7,12,8,0,88.7
7,12,9,0,88.7
7,12,10,0,88.7
7,12,11,0,88.8
7,12,12,0,88.8
7,12,13,0,88.9
7,12,14,0,88.9
7,12,15,0,89.0
7,12,16,0,89.0
7,12,17,0,89.1
7,12,18,0,89.2
7,12,19,0,89.2
7,12,20,0,89.3
7,12,21,0,89.4
7,12,22,0,89.4
7,12,23,0,89.5
7,13,0,1,89.5
7,13,1,1,89.6
7,13,2,1,89.7
7,13,4,1,89.7
7,13,5,1,89.8
7,13,6,1,89.8
7,13,7,1,89.8
7,13,8,1,89.9
7,13,9,1,89.9
7,13,10,1,90.0
7,13,11,1,90.0
7,13,12,1,90.1
7,13,13,1,90.1
7,13,14,1,90.2
7,13,15,1,90.2
7,13,16,1,90.3
7,13,17,1,90.3
7,13,18,1,90.4
7,13,19,1,90.4
7,13,20,1,90.5
7,13,21,1,90.5
7,13,22,1,90.6
7,13,23,1,90.6
7,14,0,1,90.7
7,14,1,1,90.8
7,14,2,1,90.8
7,14,3,1,90.9
7,15,6,1,92.1
7,15,7,1,92.1
7,15,8,1,92.1
7,15,9,1,92.2
7,15,10,1,92.2
7,15,11,1,92.3
7,15,12,1,92.3
7,15,13,1,92.4
7,15,14,1,92.5
7,15,15,1,92.5
7,15,16,1,92.5
7,15,17,1,92.6
7,15,18,1,92.6
7,15,19,1,92.7
7,15,20,1,92.7
7,15,21,1,92.8
7,15,22,1,92.8
7,15,23,1,92.9
7,16,0,1,92.9
7,16,1,1,93.0
7,16,2,1,93.0
7,16,3,1,93.1
7,16,4,1,93.1
7,16,5,1,93.2
7,16,7,1,93.2
7,16,8,1,93.3
7,16,9,1,93.3
7,16,10,1,93.4
7,16,11,1,93.4
7,16,12,1,93.5
7,16,13,1,93.5
7,16,14,1,93.6
7,16,15,1,93.6
7,16,16,1,93.7
7,16,17,1,93.7
7,16,18,1,93.7
7,16,19,1,93.8
7,16,20,1,93.8
7,16,21,1,93.9
7,16,22,1,94.0
7,16,23,1,94.0
7,17,0,1,94.1
7,17,1,1,94.1
7,17,2,1,94.2
7,17,3,1,94.2
7,17,4,1,94.3
7,17,5,1,94.3
7,17,6,1,94.3
7,17,8,1,94.4
7,17,9,1,94.4
7,17,10,1,94.5
7,17,11,1,94.5
7,17,12,1,94.6
7,17,13,1,94.7
7,17,14,1,94.7
7,17,15,1,94.8
7,17,16,1,94.8
7,17,17,1,94.9
7,17,18,1,94.9
7,17,19,1,95.0
7,17,20,1,95.0
7,17,21,1,95.1
7,17,22,1,95.1
7,17,23,1,95.2
7,18,0,0,95.2
7,18,1,0,95.3
7,18,2,0,95.3
7,18,3,0,95.4
7,18,4,0,95.4
7,18,5,0,95.4
7,18,6,0,95.5
7,18,7,0,95.5
7,19,10,0,96.8
7,19,11,0,96.8
7,19,12,0,96.8
7,19,13,0,96.9
7,19,14,0,97.0
7,19,15,0,97.0
7,19,16,0,97.1
7,19,17,0,97.1
7,19,18,0,97.2
7,19,19,0,97.3
7,19,20,0,97.3
7,19,21,0,97.4
7,19,22,0,97.5
7,19,23,0,97.5
7,20,0,1,97.6
7,20,1,1,97.7
7,20,2,1,97.7
7,20,3,1,97.8
7,20,4,1,97.8
7,20,5,1,97.9
7,20,6,1,97.9
7,20,7,1,97.9
7,20,8,1,98.0
7,20,9,1,98.0
7,21,12,1,99.4
7,21,13,1,99.5
7,21,14,1,99.5
7,21,15,1,99.6
7,21,16,1,99.6
7,21,17,1,99.7
7,21,18,1,99.7
7,21,19,1,99.8
7,21,20,1,99.8
7,21,21,1,99.9
7,21,22,1,100.0
7,21,23,1,100.0
7,22,0,1,100.1
7,22,1,1,100.1
7,22,2,1,100.2
7,22,3,1,100.2
7,22,4,1,100.3
7,22,5,1,100.3
7,22,6,1,100.4
7,22,7,1,100.4
7,22,8,1,100.4
7,22,9,1,100.5
7,22,10,1,100.5
7,22,11,1,100.6
7,22,13,1,100.7
7,22,14,1,100.8
7,22,15,1,100.8
7,22,16,1,100.9
7,22,17,1,100.9
7,22,18,1,101.0
7,22,19,1,101.0
7,22,20,1,101.1
7,22,21,1,101.1
7,22,22,1,101.2
7,22,23,1,101.3
7,23,0,1,101.3
7,23,1,1,101.4
7,23,2,1,101.4
7,23,3,1,101.5
7,23,4,1,101.5
7,23,5,1,101.5
7,23,6,1,101.6
7,23,7,1,101.6
7,23,8,1,101.6
7,23,9,1,101.7
7,23,10,1,101.8
7,23,11,1,101.8
7,23,12,1,101.9
7,23,14,1,102.0
7,23,15,1,102.0
7,23,16,1,102.1
7,23,17,1,102.1
7,23,18,1,102.2
7,23,19,1,102.2
7,23,20,1,102.3
7,23,21,1,102.3
7,23,22,1,102.4
7,23,23,1,102.5
7,25,0,0,103.7
7,25,1,0,103.8
7,25,2,0,103.8
7,25,3,0,103.9
7,25,4,0,103.9
7,25,5,0,103.9
7,25,6,0,104.0
7,25,7,0,104.0
7,25,8,0,104.1
7,25,9,0,104.1
7,25,10,0,104.1
7,25,11,0,104.2
7,25,12,0,104.2
7,25,13,0,104.3
7,25,15,0,104.4
7,25,16,0,104.4
7,25,17,0,104.5
7,25,18,0,104.5
7,25,19,0,104.6
7,25,20,0,104.6
7,25,21,0,104.7
7,25,22,0,104.7
7,25,23,0,104.8
7,26,0,0,104.9
7,26,1,0,104.9
7,26,2,0,105.0
7,26,3,0,105.0
7,26,4,0,105.1
7,26,5,0,105.1
7,26,6,0,105.1
7,26,7,0,105.2
7,26,8,0,105.2
7,26,9,0,105.2
7,26,10,0,105.3
7,26,11,0,105.3
7,26,12,0,105.4
7,26,13,0,105.4
7,26,14,0,105.5
7,26,16,0,105.6
7,26,17,0,105.6
7,26,18,0,105.7
7,26,19,0,105.8
7,26,20,0,105.8
7,26,21,0,105.9
7,26,22,0,106.0
7,26,23,0,106.0
7,27,0,1,106.1
7,27,1,1,106.2
7,27,2,1,106.2
7,27,3,1,106.3
7,27,4,1,106.3
7,27,5,1,106.3
7,27,6,1,106.4
7,27,7,1,106.4
7,27,8,1,106.4
7,27,9,1,106.5
7,27,10,1,106.5
7,27,11,1,106.6
7,27,12,1,106.6
7,27,13,1,106.7
7,27,14,1,106.7
7,27,15,1,106.8
7,27,17,1,106.9
7,27,18,1,106.9
7,27,19,1,107.0
7,27,20,1,107.0
7,27,21,1,107.1
7,27,22,1,107.1
7,27,23,1,107.2
7,28,0,1,107.3
7,28,1,1,107.3
7,28,2,1,107.4
7,28,3,1,107.4
7,28,4,1,107.5
7,28,5,1,107.5
7,28,6,1,107.5
7,28,7,1,107.6
7,28,8,1,107.6
7,28,9,1,107.7
7,28,10,1,107.7
7,28,11,1,107.8
7,28,12,1,107.8
7,28,13,1,107.9
7,28,14,1,107.9
7,28,15,1,108.0
7,28,16,1,108.0
7,29,19,1,109.4
7,29,20,1,109.5
7,29,21,1,109.5
7,29,22,1,109.6
7,29,23,1,109.6
7,30,0,1,109.7
7,30,1,1,109.8
7,30,2,1,109.8
7,30,3,1,109.9
7,30,4,1,109.9
7,30,5,1,109.9
7,30,6,1,110.0
7,30,7,1,110.0
7,30,8,1,110.1
7,30,9,1,110.1
7,30,10,1,110.2
7,30,11,1,110.2
7,30,12,1,110.3
7,30,13,1,110.3
7,30,14,1,110.4
7,30,15,1,110.5
7,30,16,1,110.5
7,30,17,1,110.6
7,30,18,1,110.6
7,31,21,1,112.2
7,31,22,1,112.2
7,31,23,1,112.3
8,1,0,0,112.4
8,1,1,0,112.4
8,1,2,0,112.5
8,1,3,0,112.5
8,1,4,0,112.6
8,1,5,0,112.6
8,1,6,0,112.7
8,1,7,0,112.7
8,1,8,0,112.7
8,1,9,0,112.8
8,1,10,0,112.8
8,1,11,0,112.9
8,1,12,0,112.9
8,1,13,0,113.0
8,1,14,0,113.1
8,1,15,0,113.1
8,1,16,0,113.2
8,1,17,0,113.2
8,1,18,0,113.3
8,1,19,0,113.4
8,1,20,0,113.4
8,1,22,0,113.5
8,1,23,0,113.6
8,2,0,0,113.7
8,2,1,0,113.7
8,2,2,0,113.8
8,2,3,0,113.8
8,2,4,0,113.9
8,2,5,0,113.9
8,2,6,0,114.0
8,2,7,0,114.0
8,2,8,0,114.0
8,2,9,0,114.1
8,2,10,0,114.1
8,2,11,0,114.2
8,2,12,0,114.2
8,2,13,0,114.3
8,2,14,0,114.4
8,2,15,0,114.4
8,2,16,0,114.5
8,2,17,0,114.5
8,2,18,0,114.6
8,2,19,0,114.7
8,2,20,0,114.8
8,2,21,0,114.8
8,2,23,0,115.0
8,3,0,1,115.0
8,3,1,1,115.1
8,3,2,1,115.2
8,3,3,1,115.2
8,3,4,1,115.3
8,3,5,1,115.3
8,3,6,1,115.3
8,3,7,1,115.4
8,3,8,1,115.4
8,3,9,1,115.5
8,3,10,1,115.5
8,3,11,1,115.6
8,3,12,1,115.7
8,3,13,1,115.8
8,3,14,1,115.8
8,3,15,1,115.9
8,3,16,1,115.9
8,3,17,1,116.0
8,3,18,1,116.1
8,3,19,1,116.1
8,3,20,1,116.2
8,3,21,1,116.3
8,3,22,1,116.3
8,5,1,1,118.0
8,5,2,1,118.0
8,5,3,1,118.1
8,5,4,1,118.1
8,5,5,1,118.2
8,5,6,1,118.2
8,5,7,1,118.3
8,5,8,1,118.3
8,5,9,1,118.4
8,5,10,1,118.4
8,5,11,1,118.5
8,5,12,1,118.6
8,5,13,1,118.6
8,5,14,1,118.7
8,5,15,1,118.7
8,5,16,1,118.8
8,5,17,1,118.9
8,5,18,1,118.9
8,5,19,1,119.0
8,5,20,1,119.0
8,5,21,1,119.1
8,5,22,1,119.2
8,5,23,1,119.2
8,6,0,1,119.3
8,6,2,1,119.5
8,6,3,1,119.5
8,6,4,1,119.6
8,6,5,1,119.6
