month,date,time,day,active_energy
6,1,1,1,416.5
6,1,2,1,416.5
6,1,3,1,416.5
6,1,4,1,416.5
6,1,5,1,416.6
6,1,6,1,416.6
6,1,7,1,416.6
6,1,8,1,416.6
6,1,9,1,416.6
6,1,10,1,416.7
6,1,11,1,416.7
6,1,12,1,416.7
6,1,13,1,416.7
6,1,14,1,416.8
6,1,15,1,416.8
6,1,16,1,416.8
6,1,17,1,416.8
6,1,18,1,416.9
6,1,19,1,416.9
6,1,20,1,416.9
6,1,21,1,416.9
6,1,22,1,417.0
6,1,23,1,417.0
6,2,0,1,417.0
6,2,2,1,417.0
6,2,3,1,417.0
6,2,4,1,417.1
6,2,5,1,417.1
6,2,6,1,417.1
6,2,7,1,417.1
6,2,8,1,417.1
6,2,9,1,417.1
6,2,10,1,417.2
6,2,11,1,417.2
6,2,12,1,417.2
6,2,13,1,417.2
6,2,14,1,417.3
6,2,15,1,417.3
6,2,16,1,417.3
6,2,17,1,417.4
6,2,18,1,417.4
6,2,19,1,417.4
6,2,20,1,417.4
6,2,21,1,417.5
6,2,22,1,417.5
6,2,23,1,417.5
6,3,0,1,417.5
6,3,1,1,417.5
6,3,3,1,417.6
6,3,4,1,417.6
6,3,5,1,417.6
6,3,6,1,417.6
6,3,7,1,417.6
6,3,8,1,417.7
6,3,9,1,417.7
6,3,10,1,417.7
6,3,11,1,417.7
6,3,12,1,417.8
6,3,13,1,417.8
6,3,14,1,417.8
6,3,15,1,417.8
6,3,16,1,417.9
6,3,17,1,417.9
6,3,18,1,417.9
6,3,19,1,418.0
6,3,20,1,418.0
6,3,21,1,418.0
6,3,22,1,418.0
6,3,23,1,418.0
6,4,0,1,418.1
6,4,1,1,418.1
6,4,2,1,418.1
6,5,5,1,418.7
6,5,6,1,418.8
6,5,7,1,418.8
6,5,8,1,418.8
6,5,9,1,418.8
6,5,10,1,418.9
6,5,11,1,418.9
6,5,12,1,418.9
6,5,13,1,419.0
6,5,14,1,419.0
6,5,15,1,419.0
6,5,16,1,419.1
6,5,17,1,419.1
6,5,18,1,419.1
6,5,19,1,419.2
6,5,20,1,419.2
6,5,21,1,419.2
6,5,22,1,419.2
6,5,23,1,419.2
6,6,0,0,419.3
6,6,1,0,419.3
6,6,2,0,419.3
6,6,3,0,419.3
6,6,4,0,419.3
6,6,6,0,419.4
6,6,7,0,419.4
6,6,8,0,419.4
6,6,9,0,419.4
6,6,10,0,419.4
6,6,11,0,419.5
6,6,12,0,419.5
6,6,13,0,419.5
6,6,14,0,419.5
6,6,15,0,419.5
6,6,16,0,419.6
6,6,17,0,419.6
6,6,18,0,419.6
6,6,19,0,419.6
6,6,20,0,419.6
6,6,21,0,419.7
6,6,22,0,419.7
6,6,23,0,419.7
6,7,0,0,419.7
6,7,1,0,419.7
6,7,2,0,419.8
6,7,3,0,419.8
6,7,4,0,419.8
6,7,5,0,419.8
6,7,7,0,419.8
6,7,8,0,419.9
6,7,9,0,419.9
6,7,10,0,419.9
6,7,11,0,419.9
6,7,12,0,419.9
6,7,13,0,420.0
6,7,14,0,420.0
6,7,15,0,420.0
6,7,16,0,420.0
6,7,17,0,420.0
6,7,18,0,420.1
6,7,19,0,420.1
6,7,20,0,420.1
6,7,21,0,420.1
6,7,22,0,420.1
6,7,23,0,420.2
6,8,0,1,420.2
6,8,1,1,420.2
6,8,2,1,420.2
6,8,3,1,420.2
6,8,4,1,420.3
6,8,5,1,420.3
6,8,6,1,420.3
6,9,9,1,421.0
6,9,10,1,421.0
6,9,11,1,421.1
6,9,12,1,421.1
6,9,13,1,421.2
6,9,14,1,421.2
6,9,15,1,421.2
6,9,16,1,421.3
6,9,17,1,421.3
6,9,18,1,421.3
6,9,19,1,421.4
6,9,20,1,421.4
6,9,21,1,421.4
6,9,22,1,421.4
6,9,23,1,421.5
6,10,0,1,421.5
6,10,1,1,421.5
6,10,2,1,421.5
6,10,3,1,421.6
6,10,4,1,421.6
6,10,5,1,421.6
6,10,6,1,421.6
6,10,7,1,421.6
6,10,8,1,421.7
6,11,11,1,422.4
6,11,12,1,422.4
6,11,13,1,422.5
6,11,14,1,422.5
6,11,15,1,422.6
6,11,16,1,422.6
6,11,17,1,422.6
6,11,18,1,422.7
6,11,19,1,422.7
6,11,20,1,422.7
6,11,21,1,422.7
6,11,22,1,422.8
6,11,23,1,422.8
6,12,0,1,422.8
6,12,1,1,422.8
6,12,2,1,422.9
6,12,3,1,422.9
6,12,4,1,422.9
6,12,5,1,422.9
6,12,6,1,422.9
6,12,7,1,423.0
6,12,8,1,423.0
6,12,9,1,423.0
6,12,10,1,423.1
6,12,12,1,423.1
6,12,13,1,423.2
6,12,14,1,423.2
6,12,15,1,423.2
6,12,16,1,423.3
6,12,17,1,423.3
6,12,18,1,423.3
6,12,19,1,423.4
6,12,20,1,423.4
6,12,21,1,423.4
6,12,22,1,423.4
6,12,23,1,423.5
6,13,0,0,423.5
6,13,1,0,423.5
6,13,2,0,423.5
6,13,3,0,423.5
6,13,4,0,423.6
6,13,5,0,423.6
6,13,6,0,423.6
6,13,7,0,423.6
6,13,8,0,423.6
6,13,9,0,423.7
6,13,10,0,423.7
6,13,11,0,423.7
6,13,13,0,423.7
6,13,14,0,423.8
6,13,15,0,423.8
6,13,16,0,423.8
6,13,17,0,423.8
6,13,18,0,423.9
6,13,19,0,423.9
6,13,20,0,423.9
6,13,21,0,423.9
6,13,22,0,424.0
6,13,23,0,424.0
6,14,0,0,424.0
6,14,1,0,424.0
6,14,2,0,424.0
6,14,3,0,424.1
6,14,4,0,424.1
6,14,5,0,424.1
6,14,6,0,424.1
6,14,7,0,424.1
6,14,8,0,424.2
6,14,9,0,424.2
6,14,10,0,424.2
6,14,11,0,424.2
6,14,12,0,424.2
6,15,15,1,424.9
6,15,16,1,424.9
6,15,17,1,425.0
6,15,18,1,425.0
6,15,19,1,425.0
6,15,20,1,425.0
6,15,21,1,425.1
6,15,22,1,425.1
6,15,23,1,425.1
6,16,0,1,425.1
6,16,1,1,425.1
6,16,2,1,425.2
6,16,3,1,425.2
6,16,4,1,425.2
6,16,5,1,425.2
6,16,6,1,425.2
6,16,7,1,425.3
6,16,8,1,425.3
6,16,9,1,425.3
6,16,10,1,425.3
6,16,11,1,425.4
6,16,12,1,425.4
6,16,13,1,425.4
6,16,14,1,425.5
6,16,16,1,425.6
6,16,17,1,425.6
6,16,18,1,425.6
6,16,19,1,425.7
6,16,20,1,425.7
6,16,21,1,425.7
6,16,22,1,425.7
6,16,23,1,425.7
6,17,0,1,425.8
6,17,1,1,425.8
6,17,2,1,425.8
6,17,3,1,425.8
6,17,4,1,425.8
6,17,5,1,425.9
6,17,6,1,425.9
6,17,7,1,425.9
6,17,8,1,425.9
6,17,9,1,425.9
6,17,10,1,426.0
6,17,11,1,426.0
6,17,12,1,426.0
6,17,13,1,426.1
6,17,14,1,426.1
6,17,15,1,426.1
6,17,17,1,426.2
6,17,18,1,426.2
6,17,19,1,426.3
6,17,20,1,426.3
6,17,21,1,426.3
6,17,22,1,426.3
6,17,23,1,426.4
6,18,0,1,426.4
6,18,1,1,426.4
6,18,2,1,426.4
6,18,3,1,426.5
6,18,4,1,426.5
6,18,5,1,426.5
6,18,6,1,426.5
6,18,7,1,426.5
6,18,8,1,426.5
6,18,9,1,426.6
6,18,10,1,426.6
6,18,11,1,426.6
6,18,12,1,426.7
6,18,13,1,426.7
6,18,14,1,426.7
6,18,15,1,426.7
6,18,16,1,426.8
6,19,19,1,427.5
6,19,20,1,427.5
6,19,21,1,427.5
6,19,22,1,427.5
6,19,23,1,427.6
