month,date,time,day,active_energy
6,1,1,1,455.9
6,1,2,1,456.0
6,1,3,1,456.1
6,1,4,1,456.2
6,1,5,1,456.2
6,1,6,1,456.3
6,1,7,1,456.4
6,1,8,1,456.5
6,1,9,1,456.6
6,1,10,1,456.7
6,1,11,1,456.9
6,1,12,1,457.0
6,1,13,1,457.1
6,1,14,1,457.3
6,1,15,1,457.5
6,1,16,1,457.6
6,1,17,1,457.8
6,1,18,1,457.9
6,1,19,1,458.1
6,1,20,1,458.2
6,1,21,1,458.3
6,1,22,1,458.4
6,1,23,1,458.5
6,2,0,1,458.6
6,2,2,1,458.8
6,2,3,1,458.9
6,2,4,1,458.9
6,2,5,1,459.0
6,2,6,1,459.1
6,2,7,1,459.2
6,2,8,1,459.2
6,2,9,1,459.3
6,2,10,1,459.5
6,2,11,1,459.6
6,2,12,1,459.8
6,2,13,1,459.9
6,2,14,1,460.1
6,2,15,1,460.3
6,2,16,1,460.4
6,2,17,1,460.6
6,2,18,1,460.8
6,2,19,1,460.9
6,2,20,1,461.0
6,2,21,1,461.1
6,2,22,1,461.2
6,2,23,1,461.4
6,3,0,1,461.5
6,3,1,1,461.6
6,3,3,1,461.7
6,3,4,1,461.8
6,3,5,1,461.9
6,3,6,1,462.0
6,3,7,1,462.1
6,3,8,1,462.2
6,3,9,1,462.3
6,3,10,1,462.4
6,3,11,1,462.6
6,3,12,1,462.7
6,3,13,1,462.9
6,3,14,1,463.0
6,3,15,1,463.2
6,3,16,1,463.4
6,3,17,1,463.6
6,3,18,1,463.8
6,3,19,1,463.9
6,3,20,1,464.0
6,3,21,1,464.1
6,3,22,1,464.3
6,3,23,1,464.4
6,4,0,1,464.5
6,4,1,1,464.6
6,4,2,1,464.7
6,5,5,1,468.1
6,5,6,1,468.1
6,5,7,1,468.2
6,5,8,1,468.3
6,5,9,1,468.4
6,5,10,1,468.6
6,5,11,1,468.7
6,5,12,1,468.9
6,5,13,1,469.1
6,5,14,1,469.3
6,5,15,1,469.5
6,5,16,1,469.6
6,5,17,1,469.8
6,5,18,1,470.0
6,5,19,1,470.1
6,5,20,1,470.2
6,5,21,1,470.3
6,5,22,1,470.4
6,5,23,1,470.5
6,6,0,0,470.6
6,6,1,0,470.7
6,6,2,0,470.8
6,6,3,0,470.8
6,6,4,0,470.9
6,6,6,0,471.1
6,6,7,0,471.1
6,6,8,0,471.2
6,6,9,0,471.3
6,6,10,0,471.3
6,6,11,0,471.4
6,6,12,0,471.5
6,6,13,0,471.6
6,6,14,0,471.7
6,6,15,0,471.8
6,6,16,0,471.9
6,6,17,0,472.0
6,6,18,0,472.1
6,6,19,0,472.2
6,6,20,0,472.3
6,6,21,0,472.4
6,6,22,0,472.5
6,6,23,0,472.6
6,7,0,0,472.7
6,7,1,0,472.7
6,7,2,0,472.8
6,7,3,0,472.9
6,7,4,0,473.0
6,7,5,0,473.0
6,7,7,0,473.2
6,7,8,0,473.2
6,7,9,0,473.3
6,7,10,0,473.4
6,7,11,0,473.5
6,7,12,0,473.5
6,7,13,0,473.6
6,7,14,0,473.7
6,7,15,0,473.8
6,7,16,0,473.9
6,7,17,0,474.0
6,7,18,0,474.1
6,7,19,0,474.2
6,7,20,0,474.3
6,7,21,0,474.4
6,7,22,0,474.5
6,7,23,0,474.6
6,8,0,1,474.7
6,8,1,1,474.8
6,8,2,1,474.9
6,8,3,1,474.9
6,8,4,1,475.0
6,8,5,1,475.1
6,8,6,1,475.2
6,9,9,1,478.8
6,9,10,1,478.9
6,9,11,1,479.1
6,9,12,1,479.3
6,9,13,1,479.5
6,9,14,1,479.8
6,9,15,1,480.0
6,9,16,1,480.2
6,9,17,1,480.4
6,9,18,1,480.6
6,9,19,1,480.8
6,9,20,1,480.9
6,9,21,1,481.1
6,9,22,1,481.2
6,9,23,1,481.3
6,10,0,1,481.4
6,10,1,1,481.5
6,10,2,1,481.6
6,10,3,1,481.7
6,10,4,1,481.8
6,10,5,1,481.9
6,10,6,1,482.0
6,10,7,1,482.1
6,10,8,1,482.2
6,11,11,1,486.2
6,11,12,1,486.3
6,11,13,1,486.5
6,11,14,1,486.7
6,11,15,1,486.9
6,11,16,1,487.2
6,11,17,1,487.4
6,11,18,1,487.6
6,11,19,1,487.7
6,11,20,1,487.9
6,11,21,1,488.0
6,11,22,1,488.2
6,11,23,1,488.3
6,12,0,1,488.4
6,12,1,1,488.5
6,12,2,1,488.6
6,12,3,1,488.7
6,12,4,1,488.8
6,12,5,1,488.9
6,12,6,1,489.0
6,12,7,1,489.0
6,12,8,1,489.1
6,12,9,1,489.3
6,12,10,1,489.5
6,12,12,1,489.8
6,12,13,1,490.0
6,12,14,1,490.2
6,12,15,1,490.5
6,12,16,1,490.7
6,12,17,1,490.9
6,12,18,1,491.1
6,12,19,1,491.2
6,12,20,1,491.3
6,12,21,1,491.4
6,12,22,1,491.5
6,12,23,1,491.6
6,13,0,0,491.7
6,13,1,0,491.8
6,13,2,0,491.9
6,13,3,0,492.0
6,13,4,0,492.1
6,13,5,0,492.2
6,13,6,0,492.3
6,13,7,0,492.3
6,13,8,0,492.4
6,13,9,0,492.5
6,13,10,0,492.6
6,13,11,0,492.7
6,13,13,0,492.9
6,13,14,0,493.1
6,13,15,0,493.2
6,13,16,0,493.3
6,13,17,0,493.5
6,13,18,0,493.6
6,13,19,0,493.7
6,13,20,0,493.8
6,13,21,0,493.9
6,13,22,0,494.0
6,13,23,0,494.1
6,14,0,0,494.2
6,14,1,0,494.3
6,14,2,0,494.4
6,14,3,0,494.5
6,14,4,0,494.5
6,14,5,0,494.6
6,14,6,0,494.7
6,14,7,0,494.8
6,14,8,0,494.9
6,14,9,0,495.0
6,14,10,0,495.0
6,14,11,0,495.1
6,14,12,0,495.2
6,15,15,1,498.3
6,15,16,1,498.5
6,15,17,1,498.7
6,15,18,1,498.9
6,15,19,1,499.0
6,15,20,1,499.2
6,15,21,1,499.3
6,15,22,1,499.4
6,15,23,1,499.5
6,16,0,1,499.6
6,16,1,1,499.7
6,16,2,1,499.8
6,16,3,1,499.9
6,16,4,1,500.0
6,16,5,1,500.0
6,16,6,1,500.1
6,16,7,1,500.2
6,16,8,1,500.3
6,16,9,1,500.4
6,16,10,1,500.6
6,16,11,1,500.7
6,16,12,1,500.9
6,16,13,1,501.1
6,16,14,1,501.3
6,16,16,1,501.6
6,16,17,1,501.8
6,16,18,1,502.0
6,16,19,1,502.1
6,16,20,1,502.2
6,16,21,1,502.4
6,16,22,1,502.5
6,16,23,1,502.6
6,17,0,1,502.7
6,17,1,1,502.8
6,17,2,1,502.9
6,17,3,1,503.0
6,17,4,1,503.1
6,17,5,1,503.2
6,17,6,1,503.2
6,17,7,1,503.3
6,17,8,1,503.4
6,17,9,1,503.5
6,17,10,1,503.7
6,17,11,1,503.8
6,17,12,1,504.0
6,17,13,1,504.2
6,17,14,1,504.3
6,17,15,1,504.5
6,17,17,1,504.9
6,17,18,1,505.0
6,17,19,1,505.1
6,17,20,1,505.3
6,17,21,1,505.4
6,17,22,1,505.5
6,17,23,1,505.6
6,18,0,1,505.7
6,18,1,1,505.7
6,18,2,1,505.8
6,18,3,1,505.9
6,18,4,1,506.0
6,18,5,1,506.1
6,18,6,1,506.2
6,18,7,1,506.3
6,18,8,1,506.3
6,18,9,1,506.4
6,18,10,1,506.6
6,18,11,1,506.7
6,18,12,1,506.8
6,18,13,1,507.0
6,18,14,1,507.1
6,18,15,1,507.3
6,18,16,1,507.4
6,19,19,1,510.7
6,19,20,1,510.8
6,19,21,1,510.9
6,19,22,1,511.0
6,19,23,1,511.1
6,20,0,0,511.2
6,20,1,0,511.3
6,20,2,0,511.4
6,20,3,0,511.5
6,20,4,0,511.5
6,20,5,0,511.6
6,20,6,0,511.7
6,20,7,0,511.8
6,20,8,0,511.8
6,20,9,0,511.9
6,20,10,0,512.0
6,20,11,0,512.0
6,20,12,0,512.1
6,20,13,0,512.2
6,20,14,0,512.3
6,20,15,0,512.4
6,20,16,0,512.5
6,20,17,0,512.6
6,20,18,0,512.7
6,21,21,0,515.2
6,21,22,0,515.3
6,21,23,0,515.4
6,22,0,1,515.5
6,22,1,1,515.6
6,22,2,1,515.7
6,22,3,1,515.8
6,22,4,1,515.9
6,22,5,1,515.9
6,22,6,1,516.0
6,22,7,1,516.1
6,22,8,1,516.2
6,22,9,1,516.3
6,22,10,1,516.4
6,22,11,1,516.6
6,22,12,1,516.8
6,22,13,1,516.9
6,22,14,1,517.1
6,22,15,1,517.3
6,22,16,1,517.6
6,22,17,1,517.8
6,22,18,1,517.9
6,22,19,1,518.1
6,22,20,1,518.2
6,22,22,1,518.4
6,22,23,1,518.6
6,23,0,1,518.7
6,23,1,1,518.8
6,23,2,1,518.9
6,23,3,1,518.9
6,23,4,1,519.0
6,23,5,1,519.1
6,23,6,1,519.2
6,23,7,1,519.3
6,23,8,1,519.4
6,23,9,1,519.5
6,23,10,1,519.6
6,23,11,1,519.8
6,23,12,1,520.0
6,23,13,1,520.2
6,23,14,1,520.4
6,23,15,1,520.6
6,23,16,1,520.8
6,23,17,1,521.0
6,23,18,1,521.1
6,23,19,1,521.3
6,23,20,1,521.4
6,23,21,1,521.5
6,23,23,1,521.8
6,24,0,1,521.9
6,24,1,1,522.0
6,24,2,1,522.1
6,24,3,1,522.2
6,24,4,1,522.3
6,24,5,1,522.3
6,24,6,1,522.4
6,24,7,1,522.5
6,24,8,1,522.6
6,24,9,1,522.7
6,24,10,1,522.9
6,24,11,1,523.0
6,24,12,1,523.2
6,24,13,1,523.3
6,24,14,1,523.5
6,24,15,1,523.7
6,24,16,1,523.8
6,24,17,1,524.0
6,24,18,1,524.1
6,24,19,1,524.3
6,24,20,1,524.4
6,24,21,1,524.5
6,24,22,1,524.6
6,25,0,1,524.8
6,25,1,1,524.9
6,25,2,1,525.0
6,25,3,1,525.1
6,25,4,1,525.2
6,25,5,1,525.3
6,25,6,1,525.4
6,25,7,1,525.5
6,25,8,1,525.6
6,25,9,1,525.7
6,25,10,1,525.8
6,25,11,1,526.0
6,25,12,1,526.2
6,25,13,1,526.3
6,25,14,1,526.5
6,25,15,1,526.6
6,25,16,1,526.8
6,25,17,1,527.0
6,25,18,1,527.1
6,25,19,1,527.2
6,25,20,1,527.3
6,25,21,1,527.4
6,25,22,1,527.5
6,25,23,1,527.5
6,26,1,1,527.7
6,26,2,1,527.8
6,26,3,1,527.8
6,26,4,1,527.9
6,26,5,1,528.0
6,26,6,1,528.1
6,26,7,1,528.1
6,26,8,1,528.2
6,26,9,1,528.3
6,26,10,1,528.5
6,26,11,1,528.6
6,26,12,1,528.8
6,26,13,1,528.9
6,26,14,1,529.1
6,26,15,1,529.3
6,26,16,1,529.5
6,26,17,1,529.7
6,26,18,1,529.8
6,26,19,1,529.9
6,26,20,1,530.0
6,26,21,1,530.1
6,26,22,1,530.2
6,26,23,1,530.3
6,27,0,0,530.4
6,27,2,0,530.6
6,27,3,0,530.7
6,27,4,0,530.7
6,27,5,0,530.8
6,27,6,0,530.9
6,27,7,0,531.0
6,27,8,0,531.1
6,27,9,0,531.1
6,27,10,0,531.2
6,27,11,0,531.3
6,27,12,0,531.4
6,27,13,0,531.5
6,27,14,0,531.5
6,27,15,0,531.6
6,27,16,0,531.7
6,27,17,0,531.8
6,27,18,0,531.9
6,27,19,0,532.0
6,27,20,0,532.1
6,27,21,0,532.2
6,27,22,0,532.3
6,27,23,0,532.4
6,28,0,0,532.5
6,28,1,0,532.6
6,29,4,1,535.0
6,29,5,1,535.1
6,29,6,1,535.2
6,29,7,1,535.3
6,29,8,1,535.3
6,29,9,1,535.5
6,29,10,1,535.7
6,29,11,1,535.8
6,29,12,1,536.0
6,29,13,1,536.2
6,29,14,1,536.4
6,29,15,1,536.5
6,29,16,1,536.7
6,29,17,1,536.9
6,29,18,1,537.1
6,29,19,1,537.2
6,29,20,1,537.3
6,29,21,1,537.4
6,29,22,1,537.5
6,29,23,1,537.6
6,30,0,1,537.7
6,30,1,1,537.8
6,30,2,1,537.9
6,30,3,1,538.0
7,1,6,1,541.2
7,1,7,1,541.3
7,1,8,1,541.4
7,1,9,1,541.5
7,1,10,1,541.6
7,1,11,1,541.8
7,1,12,1,541.9
7,1,13,1,542.1
7,1,14,1,542.2
7,1,15,1,542.4
7,1,16,1,542.6
7,1,17,1,542.7
7,1,18,1,542.9
7,1,19,1,543.0
7,1,20,1,543.1
7,1,21,1,543.2
7,1,22,1,543.3
7,1,23,1,543.5
7,2,0,1,543.6
7,2,1,1,543.6
7,2,2,1,543.7
7,2,3,1,543.8
7,2,4,1,543.9
7,2,5,1,544.0
7,2,7,1,544.1
7,2,8,1,544.2
7,2,9,1,544.3
7,2,10,1,544.5
7,2,11,1,544.6
7,2,12,1,544.8
7,2,13,1,544.9
7,2,14,1,545.1
7,2,15,1,545.3
7,2,16,1,545.4
7,2,17,1,545.6
7,2,18,1,545.8
7,2,19,1,545.9
7,2,20,1,546.0
7,2,21,1,546.2
7,2,22,1,546.3
7,2,23,1,546.4
7,3,0,1,546.5
7,3,1,1,546.6
7,3,2,1,546.7
7,3,3,1,546.7
7,3,4,1,546.8
7,3,5,1,546.9
7,3,6,1,547.0
7,3,8,1,547.2
7,3,9,1,547.3
7,3,10,1,547.4
7,3,11,1,547.6
7,3,12,1,547.7
7,3,13,1,547.9
7,3,14,1,548.0
7,3,15,1,548.2
7,3,16,1,548.3
7,3,17,1,548.5
7,3,18,1,548.6
7,3,19,1,548.7
7,3,20,1,548.8
7,3,21,1,548.9
7,3,22,1,549.0
7,3,23,1,549.1
7,4,0,0,549.1
7,4,1,0,549.2
7,4,2,0,549.3
7,4,3,0,549.4
7,4,4,0,549.5
7,4,5,0,549.5
7,4,6,0,549.6
7,4,7,0,549.7
7,5,10,0,551.8
7,5,11,0,551.9
7,5,12,0,552.0
7,5,13,0,552.1
7,5,14,0,552.2
7,5,15,0,552.3
7,5,16,0,552.4
7,5,17,0,552.4
7,5,18,0,552.5
7,5,19,0,552.6
7,5,20,0,552.7
7,5,21,0,552.8
7,5,22,0,552.9
7,5,23,0,553.0
7,6,0,1,553.1
7,6,1,1,553.2
7,6,2,1,553.3
7,6,3,1,553.4
7,6,4,1,553.4
7,6,5,1,553.5
7,6,6,1,553.6
7,6,7,1,553.7
7,6,8,1,553.7
7,6,9,1,553.8
7,6,11,1,554.1
7,6,12,1,554.3
7,6,13,1,554.4
7,6,14,1,554.6
7,6,15,1,554.8
7,6,16,1,554.9
7,6,17,1,555.1
7,6,18,1,555.3
7,6,19,1,555.4
7,6,20,1,555.5
7,6,21,1,555.6
7,6,22,1,555.8
7,6,23,1,555.9
7,7,0,1,556.0
7,7,1,1,556.0
7,7,2,1,556.1
7,7,3,1,556.2
7,7,4,1,556.3
7,7,5,1,556.4
7,7,6,1,556.4
7,7,7,1,556.5
7,7,8,1,556.6
7,7,9,1,556.7
7,7,10,1,556.9
7,7,12,1,557.2
7,7,13,1,557.4
7,7,14,1,557.6
7,7,15,1,557.8
7,7,16,1,558.0
7,7,17,1,558.2
7,7,18,1,558.4
7,7,19,1,558.5
7,7,20,1,558.6
7,7,21,1,558.8
7,7,22,1,558.9
7,7,23,1,559.0
7,8,0,1,559.1
7,8,1,1,559.2
7,8,2,1,559.3
7,8,3,1,559.4
7,8,4,1,559.5
