month,date,time,day,active_energy
6,1,1,1,433.0
6,1,2,1,434.0
6,1,3,1,435.0
6,1,4,1,436.0
6,1,5,1,436.0
6,1,6,1,437.0
6,1,7,1,438.0
6,1,8,1,439.0
6,1,9,1,439.0
6,1,10,1,440.0
6,1,11,1,441.0
6,1,12,1,442.0
6,1,13,1,443.0
6,1,14,1,444.0
6,1,15,1,445.0
6,1,16,1,446.0
6,1,17,1,447.0
6,1,18,1,447.0
6,1,19,1,448.0
6,1,20,1,449.0
6,1,21,1,450.0
6,1,22,1,451.0
6,1,23,1,452.0
6,2,0,1,453.0
6,2,2,1,454.0
6,2,3,1,455.0
6,2,4,1,456.0
6,2,5,1,456.0
6,2,6,1,457.0
6,2,7,1,458.0
6,2,8,1,459.0
6,2,9,1,459.0
6,2,10,1,460.0
6,2,11,1,461.0
6,2,12,1,462.0
6,2,13,1,463.0
6,2,14,1,464.0
6,2,15,1,465.0
6,2,16,1,466.0
6,2,17,1,467.0
6,2,18,1,468.0
6,2,19,1,469.0
6,2,20,1,470.0
6,2,21,1,471.0
6,2,22,1,471.0
6,2,23,1,472.0
6,3,0,1,473.0
6,3,1,1,474.0
6,3,3,1,476.0
6,3,4,1,477.0
6,3,5,1,477.0
6,3,6,1,478.0
6,3,7,1,479.0
6,3,8,1,480.0
6,3,9,1,481.0
6,3,10,1,482.0
6,3,11,1,483.0
6,3,12,1,484.0
6,3,13,1,485.0
6,3,14,1,486.0
6,3,15,1,487.0
6,3,16,1,488.0
6,3,17,1,489.0
6,3,18,1,490.0
6,3,19,1,491.0
6,3,20,1,493.0
6,3,21,1,494.0
6,3,22,1,495.0
6,3,23,1,495.0
6,4,0,1,496.0
6,4,1,1,497.0
6,4,2,1,498.0
6,5,5,1,525.0
6,5,6,1,526.0
6,5,7,1,526.0
6,5,8,1,527.0
6,5,9,1,528.0
6,5,10,1,529.0
6,5,11,1,530.0
6,5,12,1,531.0
6,5,13,1,533.0
6,5,14,1,534.0
6,5,15,1,535.0
6,5,16,1,536.0
6,5,17,1,537.0
6,5,18,1,538.0
6,5,19,1,539.0
6,5,20,1,540.0
6,5,21,1,541.0
6,5,22,1,542.0
6,5,23,1,543.0
6,6,0,0,544.0
6,6,1,0,545.0
6,6,2,0,546.0
6,6,3,0,547.0
6,6,4,0,548.0
6,6,6,0,550.0
6,6,7,0,550.0
6,6,8,0,551.0
6,6,9,0,552.0
6,6,10,0,553.0
6,6,11,0,554.0
6,6,12,0,555.0
6,6,13,0,556.0
6,6,14,0,557.0
6,6,15,0,558.0
6,6,16,0,559.0
6,6,17,0,560.0
6,6,18,0,561.0
6,6,19,0,561.0
6,6,20,0,562.0
6,6,21,0,563.0
6,6,22,0,564.0
6,6,23,0,565.0
6,7,0,0,566.0
6,7,1,0,567.0
6,7,2,0,568.0
6,7,3,0,569.0
6,7,4,0,570.0
6,7,5,0,571.0
6,7,7,0,572.0
6,7,8,0,573.0
6,7,9,0,574.0
6,7,10,0,575.0
6,7,11,0,576.0
6,7,12,0,577.0
6,7,13,0,578.0
6,7,14,0,579.0
6,7,15,0,579.0
6,7,16,0,580.0
6,7,17,0,581.0
6,7,18,0,582.0
6,7,19,0,583.0
6,7,20,0,584.0
6,7,21,0,585.0
6,7,22,0,586.0
6,7,23,0,587.0
6,8,0,1,588.0
6,8,1,1,589.0
6,8,2,1,590.0
6,8,3,1,591.0
6,8,4,1,592.0
6,8,5,1,593.0
6,8,6,1,593.0
6,9,9,1,621.0
6,9,10,1,622.0
6,9,11,1,623.0
6,9,12,1,624.0
6,9,13,1,626.0
6,9,14,1,627.0
6,9,15,1,628.0
6,9,16,1,629.0
6,9,17,1,630.0
6,9,18,1,631.0
6,9,19,1,633.0
6,9,20,1,634.0
6,9,21,1,635.0
6,9,22,1,636.0
6,9,23,1,637.0
6,10,0,1,638.0
6,10,1,1,639.0
6,10,2,1,640.0
6,10,3,1,641.0
6,10,4,1,642.0
6,10,5,1,643.0
6,10,6,1,644.0
6,10,7,1,645.0
6,10,8,1,646.0
6,11,11,1,674.0
6,11,12,1,676.0
6,11,13,1,677.0
6,11,14,1,678.0
6,11,15,1,679.0
6,11,16,1,681.0
6,11,17,1,682.0
6,11,18,1,683.0
6,11,19,1,684.0
6,11,20,1,686.0
6,11,21,1,687.0
6,11,22,1,688.0
6,11,23,1,689.0
6,12,0,1,690.0
6,12,1,1,691.0
6,12,2,1,692.0
6,12,3,1,693.0
6,12,4,1,694.0
6,12,5,1,695.0
6,12,6,1,696.0
6,12,7,1,697.0
6,12,8,1,698.0
6,12,9,1,699.0
6,12,10,1,700.0
6,12,12,1,702.0
6,12,13,1,704.0
6,12,14,1,705.0
6,12,15,1,706.0
6,12,16,1,707.0
6,12,17,1,708.0
6,12,18,1,709.0
6,12,19,1,711.0
6,12,20,1,712.0
6,12,21,1,713.0
6,12,22,1,714.0
6,12,23,1,715.0
6,13,0,0,716.0
6,13,1,0,717.0
6,13,2,0,718.0
6,13,3,0,719.0
6,13,4,0,720.0
6,13,5,0,720.0
6,13,6,0,721.0
6,13,7,0,722.0
6,13,8,0,723.0
6,13,9,0,724.0
6,13,10,0,725.0
6,13,11,0,726.0
6,13,13,0,728.0
6,13,14,0,729.0
6,13,15,0,730.0
6,13,16,0,731.0
6,13,17,0,732.0
6,13,18,0,733.0
6,13,19,0,734.0
6,13,20,0,735.0
6,13,21,0,736.0
6,13,22,0,737.0
6,13,23,0,738.0
6,14,0,0,739.0
6,14,1,0,740.0
6,14,2,0,741.0
6,14,3,0,742.0
6,14,4,0,743.0
6,14,5,0,744.0
6,14,6,0,745.0
6,14,7,0,746.0
6,14,8,0,747.0
6,14,9,0,748.0
6,14,10,0,749.0
6,14,11,0,750.0
6,14,12,0,750.0
6,15,15,1,776.0
6,15,16,1,777.0
6,15,17,1,778.0
6,15,18,1,779.0
6,15,19,1,781.0
6,15,20,1,782.0
6,15,21,1,783.0
6,15,22,1,783.0
6,15,23,1,784.0
6,16,0,1,785.0
6,16,1,1,786.0
6,16,2,1,787.0
6,16,3,1,788.0
6,16,4,1,789.0
6,16,5,1,790.0
6,16,6,1,791.0
6,16,7,1,791.0
6,16,8,1,792.0
6,16,9,1,793.0
6,16,10,1,794.0
6,16,11,1,796.0
6,16,12,1,797.0
6,16,13,1,798.0
6,16,14,1,799.0
6,16,16,1,801.0
6,16,17,1,802.0
6,16,18,1,804.0
6,16,19,1,805.0
6,16,20,1,806.0
6,16,21,1,807.0
6,16,22,1,808.0
6,16,23,1,809.0
6,17,0,1,810.0
6,17,1,1,811.0
6,17,2,1,812.0
6,17,3,1,813.0
6,17,4,1,814.0
6,17,5,1,815.0
6,17,6,1,816.0
6,17,7,1,816.0
6,17,8,1,817.0
6,17,9,1,818.0
6,17,10,1,819.0
6,17,11,1,820.0
6,17,12,1,821.0
6,17,13,1,823.0
6,17,14,1,824.0
6,17,15,1,825.0
6,17,17,1,827.0
6,17,18,1,828.0
6,17,19,1,829.0
6,17,20,1,830.0
6,17,21,1,831.0
6,17,22,1,832.0
6,17,23,1,833.0
6,18,0,1,834.0
6,18,1,1,835.0
6,18,2,1,836.0
6,18,3,1,837.0
6,18,4,1,837.0
6,18,5,1,838.0
6,18,6,1,839.0
6,18,7,1,840.0
6,18,8,1,841.0
6,18,9,1,842.0
6,18,10,1,843.0
6,18,11,1,844.0
6,18,12,1,845.0
6,18,13,1,846.0
6,18,14,1,847.0
6,18,15,1,848.0
6,18,16,1,849.0
6,19,19,1,875.0
6,19,20,1,876.0
6,19,21,1,877.0
6,19,22,1,878.0
6,19,23,1,879.0
6,20,0,0,880.0
6,20,1,0,880.0
6,20,2,0,881.0
6,20,3,0,882.0
6,20,4,0,883.0
6,20,5,0,884.0
6,20,6,0,885.0
6,20,7,0,886.0
6,20,8,0,886.0
6,20,9,0,887.0
6,20,10,0,888.0
6,20,11,0,889.0
6,20,12,0,890.0
6,20,13,0,891.0
6,20,14,0,892.0
6,20,15,0,893.0
6,20,16,0,894.0
6,20,17,0,895.0
6,20,18,0,896.0
6,21,21,0,921.0
6,21,22,0,922.0
6,21,23,0,922.0
6,22,0,1,923.0
6,22,1,1,924.0
6,22,2,1,925.0
6,22,3,1,926.0
6,22,4,1,927.0
6,22,5,1,928.0
6,22,6,1,929.0
6,22,7,1,930.0
6,22,8,1,930.0
6,22,9,1,931.0
6,22,10,1,932.0
6,22,11,1,934.0
6,22,12,1,935.0
6,22,13,1,936.0
6,22,14,1,937.0
6,22,15,1,938.0
6,22,16,1,939.0
6,22,17,1,940.0
6,22,18,1,941.0
6,22,19,1,942.0
6,22,20,1,943.0
6,22,22,1,945.0
6,22,23,1,946.0
6,23,0,1,947.0
6,23,1,1,948.0
6,23,2,1,949.0
6,23,3,1,950.0
6,23,4,1,951.0
6,23,5,1,952.0
6,23,6,1,953.0
6,23,7,1,953.0
6,23,8,1,954.0
6,23,9,1,955.0
6,23,10,1,956.0
6,23,11,1,957.0
6,23,12,1,958.0
6,23,13,1,959.0
6,23,14,1,961.0
6,23,15,1,962.0
6,23,16,1,963.0
6,23,17,1,964.0
6,23,18,1,965.0
6,23,19,1,966.0
6,23,20,1,967.0
6,23,21,1,968.0
6,23,23,1,970.0
6,24,0,1,971.0
6,24,1,1,972.0
6,24,2,1,973.0
6,24,3,1,974.0
6,24,4,1,975.0
6,24,5,1,976.0
6,24,6,1,977.0
6,24,7,1,977.0
6,24,8,1,978.0
6,24,9,1,979.0
6,24,10,1,980.0
6,24,11,1,981.0
6,24,12,1,983.0
6,24,13,1,984.0
6,24,14,1,985.0
6,24,15,1,986.0
6,24,16,1,987.0
6,24,17,1,988.0
6,24,18,1,989.0
6,24,19,1,990.0
6,24,20,1,991.0
6,24,21,1,992.0
6,24,22,1,993.0
6,25,0,1,995.0
6,25,1,1,996.0
6,25,2,1,997.0
6,25,3,1,998.0
6,25,4,1,999.0
6,25,5,1,1000.0
6,25,6,1,0.0
6,25,7,1,1.0
6,25,8,1,2.0
6,25,9,1,3.0
6,25,10,1,4.0
6,25,11,1,5.0
6,25,12,1,7.0
6,25,13,1,8.0
6,25,14,1,9.0
6,25,15,1,10.0
6,25,16,1,11.0
6,25,17,1,12.0
6,25,18,1,13.0
6,25,19,1,14.0
6,25,20,1,15.0
6,25,21,1,16.0
6,25,22,1,17.0
6,25,23,1,18.0
6,26,1,1,20.0
6,26,2,1,21.0
6,26,3,1,22.0
6,26,4,1,23.0
6,26,5,1,24.0
6,26,6,1,25.0
6,26,7,1,26.0
6,26,8,1,26.0
6,26,9,1,27.0
6,26,10,1,28.0
6,26,11,1,30.0
6,26,12,1,31.0
6,26,13,1,32.0
6,26,14,1,33.0
6,26,15,1,34.0
6,26,16,1,35.0
6,26,17,1,36.0
6,26,18,1,37.0
6,26,19,1,38.0
6,26,20,1,39.0
6,26,21,1,40.0
6,26,22,1,41.0
6,26,23,1,42.0
6,27,0,0,43.0
6,27,2,0,45.0
6,27,3,0,46.0
6,27,4,0,47.0
6,27,5,0,48.0
6,27,6,0,49.0
6,27,7,0,50.0
6,27,8,0,51.0
6,27,9,0,52.0
6,27,10,0,53.0
6,27,11,0,54.0
6,27,12,0,55.0
6,27,13,0,56.0
6,27,14,0,57.0
6,27,15,0,58.0
6,27,16,0,59.0
6,27,17,0,60.0
6,27,18,0,61.0
6,27,19,0,62.0
6,27,20,0,63.0
6,27,21,0,64.0
6,27,22,0,65.0
6,27,23,0,66.0
6,28,0,0,67.0
6,28,1,0,68.0
6,29,4,1,93.0
6,29,5,1,94.0
6,29,6,1,95.0
6,29,7,1,96.0
6,29,8,1,97.0
6,29,9,1,98.0
6,29,10,1,99.0
6,29,11,1,100.0
6,29,12,1,101.0
