month,date,time,day,temp,humid,active_power,active_energy
6,1,1,1,19.3,93.0,126.0,821.2
6,1,2,1,19.2,94.0,119.0,821.3
6,1,3,1,19.1,96.0,115.0,821.4
6,1,4,1,18.6,98.0,113.0,821.5
6,1,5,1,18.6,97.0,96.0,821.6
6,1,6,1,18.7,96.0,81.0,821.7
6,1,7,1,18.9,95.0,63.0,821.7
6,1,8,1,19.6,91.0,81.0,821.8
6,1,9,1,20.1,88.0,47.0,821.8
6,1,10,1,20.9,78.0,12.0,821.8
6,1,11,1,23.1,64.0,73.0,821.8
6,1,12,1,23.5,52.0,31.0,821.8
6,1,13,1,25.2,43.0,22.0,821.8
6,1,14,1,25.5,39.0,0.0,821.8
6,1,15,1,25.9,33.0,9.0,821.8
6,1,16,1,25.4,27.0,17.0,821.8
6,1,17,1,24.9,28.0,58.0,821.8
6,1,18,1,24.5,25.0,90.0,821.9
6,1,19,1,22.7,43.0,121.0,821.9
6,1,20,1,21.0,47.0,136.0,822.0
6,1,21,1,19.4,56.0,132.0,822.1
6,1,22,1,18.7,58.0,125.0,822.2
6,1,23,1,18.3,64.0,116.0,822.4
6,2,0,1,17.6,69.0,119.0,822.5
6,2,2,1,16.2,69.0,121.0,822.7
6,2,3,1,15.5,71.0,114.0,822.8
6,2,4,1,14.9,87.0,110.0,822.9
6,2,5,1,14.4,92.0,116.0,823.0
6,2,6,1,14.8,90.0,99.0,823.1
6,2,7,1,15.6,82.0,53.0,823.1
6,2,8,1,17.4,68.0,38.0,823.1
6,2,9,1,20.2,53.0,0.0,823.2
6,2,10,1,22.1,41.0,1.0,823.2
6,2,11,1,25.6,36.0,1.0,823.2
6,2,12,1,26.3,31.0,3.0,823.2
6,2,13,1,26.6,24.0,10.0,823.2
6,2,14,1,27.2,24.0,4.0,823.2
6,2,15,1,27.6,28.0,67.0,823.2
6,2,16,1,26.7,36.0,57.0,823.2
6,2,17,1,26.0,49.0,81.0,823.2
6,2,18,1,24.7,53.0,107.0,823.2
6,2,19,1,23.3,61.0,130.0,823.3
6,2,20,1,22.3,72.0,128.0,823.4
6,2,21,1,21.2,79.0,155.0,823.5
6,2,22,1,20.3,83.0,123.0,823.6
6,2,23,1,19.7,87.0,109.0,823.7
6,3,0,1,19.9,85.0,120.0,823.8
6,3,1,1,19.8,83.0,125.0,823.9
6,3,3,1,19.9,84.0,109.0,824.2
6,3,4,1,18.8,93.0,110.0,824.3
6,3,5,1,18.3,96.0,85.0,824.4
6,3,6,1,18.7,96.0,80.0,824.4
6,3,7,1,19.4,95.0,65.0,824.5
6,3,8,1,20.2,92.0,73.0,824.5
6,3,9,1,20.6,91.0,73.0,824.6
6,3,10,1,21.6,86.0,67.0,824.6
6,3,11,1,22.6,86.0,42.0,824.7
6,3,12,1,24.6,80.0,61.0,824.7
6,3,13,1,24.8,75.0,59.0,824.7
6,3,14,1,25.6,74.0,67.0,824.8
6,3,15,1,26.7,66.0,80.0,824.8
6,3,16,1,27.9,65.0,72.0,824.8
6,3,17,1,27.4,60.0,87.0,824.8
6,3,18,1,25.4,73.0,102.0,824.9
6,3,19,1,24.2,80.0,129.0,825.0
6,3,20,1,24.0,77.0,128.0,825.1
6,3,21,1,23.8,81.0,130.0,825.2
6,3,22,1,23.2,88.0,128.0,825.3
6,3,23,1,22.5,94.0,116.0,825.4
6,4,0,1,21.9,96.0,127.0,825.5
6,4,1,1,21.8,96.0,127.0,825.6
6,4,2,1,21.5,95.0,124.0,825.7
6,5,5,1,20.6,98.0,66.0,827.4
6,5,6,1,20.3,98.0,67.0,827.5
6,5,7,1,20.8,97.0,37.0,827.5
6,5,8,1,22.3,94.0,25.0,827.6
6,5,9,1,23.9,85.0,5.0,827.6
6,5,10,1,25.4,81.0,0.0,827.6
6,5,11,1,27.2,70.0,1.0,827.6
6,5,12,1,28.7,60.0,0.0,827.6
6,5,13,1,29.4,56.0,0.0,827.6
6,5,14,1,31.0,53.0,0.0,827.6
6,5,15,1,32.1,47.0,47.0,827.6
6,5,16,1,31.2,46.0,54.0,827.6
6,5,17,1,31.3,55.0,80.0,827.6
6,5,18,1,28.6,65.0,99.0,827.7
6,5,19,1,27.1,72.0,131.0,827.7
6,5,20,1,25.0,80.0,129.0,827.8
6,5,21,1,23.8,86.0,129.0,827.9
6,5,22,1,22.6,90.0,127.0,828.1
6,5,23,1,22.3,88.0,115.0,828.2
6,6,0,0,21.9,92.0,115.0,828.3
6,6,1,0,22.0,90.0,109.0,828.4
6,6,2,0,21.8,92.0,115.0,828.5
6,6,3,0,21.4,95.0,104.0,828.6
6,6,4,0,20.7,96.0,100.0,828.7
6,6,6,0,21.1,96.0,68.0,828.8
6,6,7,0,21.8,95.0,41.0,828.9
6,6,8,0,23.1,91.0,35.0,828.9
6,6,9,0,24.1,84.0,20.0,828.9
6,6,10,0,25.1,81.0,0.0,828.9
6,6,11,0,27.2,73.0,0.0,828.9
6,6,12,0,28.4,68.0,0.0,828.9
6,6,13,0,29.4,63.0,0.0,828.9
6,6,14,0,29.7,57.0,9.0,828.9
6,6,15,0,29.4,59.0,13.0,828.9
6,6,16,0,29.0,61.0,20.0,828.9
6,6,17,0,26.4,72.0,59.0,828.9
6,6,18,0,24.8,77.0,79.0,828.9
6,6,19,0,23.5,81.0,104.0,829.0
6,6,20,0,23.1,82.0,118.0,829.1
6,6,21,0,20.9,97.0,118.0,829.2
6,6,22,0,21.6,95.0,124.0,829.3
6,6,23,0,21.5,96.0,102.0,829.4
6,7,0,0,21.5,95.0,115.0,829.5
6,7,1,0,21.1,94.0,107.0,829.6
6,7,2,0,20.8,93.0,109.0,829.7
6,7,3,0,20.4,95.0,104.0,829.8
6,7,4,0,20.3,95.0,103.0,829.8
6,7,5,0,19.9,95.0,86.0,829.9
6,7,7,0,21.1,94.0,36.0,830.1
6,7,8,0,22.0,89.0,24.0,830.1
6,7,9,0,23.2,81.0,16.0,830.1
6,7,10,0,25.2,55.0,4.0,830.1
6,7,11,0,25.9,55.0,6.0,830.1
6,7,12,0,26.8,52.0,6.0,830.1
6,7,13,0,29.1,51.0,3.0,830.1
6,7,14,0,29.3,54.0,5.0,830.1
6,7,15,0,29.5,47.0,13.0,830.1
6,7,16,0,30.7,46.0,3.0,830.1
6,7,17,0,28.5,50.0,51.0,830.1
6,7,18,0,28.4,55.0,78.0,830.1
6,7,19,0,26.5,62.0,110.0,830.2
6,7,20,0,24.7,70.0,113.0,830.2
6,7,21,0,23.6,76.0,114.0,830.3
6,7,22,0,23.1,75.0,106.0,830.4
6,7,23,0,22.7,77.0,96.0,830.5
6,8,0,1,22.1,69.0,111.0,830.6
6,8,1,1,21.7,86.0,112.0,830.7
6,8,2,1,21.3,91.0,112.0,830.8
6,8,3,1,20.5,86.0,98.0,830.9
6,8,4,1,20.5,92.0,100.0,831.0
6,8,5,1,20.3,92.0,71.0,831.1
6,8,6,1,19.7,96.0,85.0,831.1
6,9,9,1,27.0,45.0,0.0,832.4
6,9,10,1,28.7,43.0,0.0,832.4
6,9,11,1,30.1,40.0,0.0,832.4
6,9,12,1,30.9,40.0,0.0,832.4
6,9,13,1,32.0,39.0,0.0,832.4
6,9,14,1,32.7,39.0,0.0,832.4
6,9,15,1,32.3,40.0,78.0,832.4
6,9,16,1,32.1,44.0,75.0,832.4
6,9,17,1,30.1,49.0,106.0,832.5
6,9,18,1,29.9,51.0,109.0,832.5
6,9,19,1,28.1,56.0,122.0,832.6
6,9,20,1,27.1,59.0,125.0,832.7
6,9,21,1,26.5,63.0,120.0,832.8
6,9,22,1,26.2,65.0,117.0,832.9
6,9,23,1,26.0,67.0,99.0,833.0
6,10,0,1,25.1,72.0,109.0,833.1
6,10,1,1,24.4,74.0,127.0,833.2
