month,date,time,day,temp,humid,active_power,active_energy
6,1,1,1,19.3,93.0,326.0,725.2
6,1,2,1,19.2,94.0,328.0,725.5
6,1,3,1,19.1,96.0,323.0,725.8
6,1,4,1,18.6,98.0,323.0,726.1
6,1,5,1,18.6,97.0,323.0,726.4
6,1,6,1,18.7,96.0,322.0,726.7
6,1,7,1,18.9,95.0,321.0,727.0
6,1,8,1,19.6,91.0,337.0,727.3
6,1,9,1,20.1,88.0,357.0,727.6
6,1,10,1,20.9,78.0,396.0,728.0
6,1,11,1,23.1,64.0,410.0,728.4
6,1,12,1,23.5,52.0,404.0,728.7
6,1,13,1,25.2,43.0,428.0,729.1
6,1,14,1,25.5,39.0,431.0,729.5
6,1,15,1,25.9,33.0,433.0,729.9
6,1,16,1,25.4,27.0,418.0,730.3
6,1,17,1,24.9,28.0,416.0,730.7
6,1,18,1,24.5,25.0,395.0,731.1
6,1,19,1,22.7,43.0,378.0,731.5
6,1,20,1,21.0,47.0,379.0,731.8
6,1,21,1,19.4,56.0,372.0,732.2
6,1,22,1,18.7,58.0,356.0,732.5
6,1,23,1,18.3,64.0,349.0,732.9
6,2,0,1,17.6,69.0,340.0,733.2
6,2,2,1,16.2,69.0,328.0,733.8
6,2,3,1,15.5,71.0,322.0,734.1
6,2,4,1,14.9,87.0,322.0,734.4
6,2,5,1,14.4,92.0,319.0,734.7
6,2,6,1,14.8,90.0,316.0,735.0
6,2,7,1,15.6,82.0,322.0,735.3
6,2,8,1,17.4,68.0,348.0,735.6
6,2,9,1,20.2,53.0,359.0,735.9
6,2,10,1,22.1,41.0,384.0,736.3
6,2,11,1,25.6,36.0,396.0,736.6
6,2,12,1,26.3,31.0,388.0,737.0
6,2,13,1,26.6,24.0,426.0,737.4
6,2,14,1,27.2,24.0,447.0,737.8
6,2,15,1,27.6,28.0,450.0,738.2
6,2,16,1,26.7,36.0,442.0,738.6
6,2,17,1,26.0,49.0,451.0,739.0
6,2,18,1,24.7,53.0,420.0,739.4
6,2,19,1,23.3,61.0,410.0,739.8
6,2,20,1,22.3,72.0,404.0,740.2
6,2,21,1,21.2,79.0,404.0,740.6
6,2,22,1,20.3,83.0,392.0,741.0
6,2,23,1,19.7,87.0,378.0,741.4
6,3,0,1,19.9,85.0,364.0,741.7
6,3,1,1,19.8,83.0,344.0,742.1
6,3,3,1,19.9,84.0,337.0,742.7
6,3,4,1,18.8,93.0,325.0,743.0
6,3,5,1,18.3,96.0,328.0,743.3
6,3,6,1,18.7,96.0,328.0,743.6
6,3,7,1,19.4,95.0,325.0,744.0
6,3,8,1,20.2,92.0,353.0,744.3
6,3,9,1,20.6,91.0,397.0,744.6
6,3,10,1,21.6,86.0,414.0,744.9
6,3,11,1,22.6,86.0,435.0,745.3
6,3,12,1,24.6,80.0,425.0,745.7
6,3,13,1,24.8,75.0,468.0,746.1
6,3,14,1,25.6,74.0,484.0,746.6
6,3,15,1,26.7,66.0,516.0,747.0
6,3,16,1,27.9,65.0,509.0,747.5
6,3,17,1,27.4,60.0,506.0,748.0
6,3,18,1,25.4,73.0,462.0,748.5
6,3,19,1,24.2,80.0,456.0,748.9
6,3,20,1,24.0,77.0,456.0,749.4
6,3,21,1,23.8,81.0,426.0,749.8
6,3,22,1,23.2,88.0,435.0,750.2
6,3,23,1,22.5,94.0,400.0,750.6
6,4,0,1,21.9,96.0,396.0,751.0
6,4,1,1,21.8,96.0,393.0,751.4
6,4,2,1,21.5,95.0,381.0,751.7
6,5,5,1,20.6,98.0,369.0,763.1
6,5,6,1,20.3,98.0,376.0,763.5
6,5,7,1,20.8,97.0,381.0,763.8
6,5,8,1,22.3,94.0,406.0,764.2
6,5,9,1,23.9,85.0,460.0,764.6
6,5,10,1,25.4,81.0,492.0,765.0
6,5,11,1,27.2,70.0,508.0,765.4
6,5,12,1,28.7,60.0,516.0,765.9
6,5,13,1,29.4,56.0,542.0,766.4
6,5,14,1,31.0,53.0,558.0,766.9
6,5,15,1,32.1,47.0,561.0,767.4
6,5,16,1,31.2,46.0,545.0,768.0
6,5,17,1,31.3,55.0,523.0,768.5
6,5,18,1,28.6,65.0,493.0,769.0
6,5,19,1,27.1,72.0,459.0,769.5
6,5,20,1,25.0,80.0,458.0,769.9
6,5,21,1,23.8,86.0,430.0,770.3
6,5,22,1,22.6,90.0,427.0,770.7
6,5,23,1,22.3,88.0,406.0,771.1
6,6,0,0,21.9,92.0,385.0,771.5
6,6,1,0,22.0,90.0,380.0,771.9
6,6,2,0,21.8,92.0,373.0,772.2
6,6,3,0,21.4,95.0,369.0,772.6
6,6,4,0,20.7,96.0,363.0,772.9
6,6,6,0,21.1,96.0,356.0,773.6
6,6,7,0,21.8,95.0,361.0,773.9
6,6,8,0,23.1,91.0,366.0,774.3
6,6,9,0,24.1,84.0,387.0,774.6
6,6,10,0,25.1,81.0,406.0,775.0
6,6,11,0,27.2,73.0,414.0,775.4
6,6,12,0,28.4,68.0,412.0,775.8
6,6,13,0,29.4,63.0,427.0,776.2
6,6,14,0,29.7,57.0,431.0,776.6
6,6,15,0,29.4,59.0,436.0,777.0
6,6,16,0,29.0,61.0,429.0,777.4
6,6,17,0,26.4,72.0,431.0,777.8
6,6,18,0,24.8,77.0,405.0,778.2
6,6,19,0,23.5,81.0,409.0,778.6
6,6,20,0,23.1,82.0,397.0,779.0
6,6,21,0,20.9,97.0,402.0,779.3
6,6,22,0,21.6,95.0,403.0,779.7
