month,date,time,day,temp,humid,active_power,active_energy
6,1,1,1,19.3,93.0,444.0,461.0
6,1,2,1,19.2,94.0,446.0,461.4
6,1,3,1,19.1,96.0,510.0,461.8
6,1,4,1,18.6,98.0,450.0,462.3
6,1,5,1,18.6,97.0,431.0,462.7
6,1,6,1,18.7,96.0,454.0,463.1
6,1,7,1,18.9,95.0,495.0,463.5
6,1,8,1,19.6,91.0,543.0,464.0
6,1,9,1,20.1,88.0,601.0,464.4
6,1,10,1,20.9,78.0,627.0,465.0
6,1,11,1,23.1,64.0,582.0,465.5
6,1,12,1,23.5,52.0,538.0,466.0
6,1,13,1,25.2,43.0,544.0,466.5
6,1,14,1,25.5,39.0,513.0,467.0
6,1,15,1,25.9,33.0,544.0,467.4
6,1,16,1,25.4,27.0,518.0,467.9
6,1,17,1,24.9,28.0,470.0,468.3
6,1,18,1,24.5,25.0,469.0,468.8
6,1,19,1,22.7,43.0,446.0,469.2
6,1,20,1,21.0,47.0,474.0,469.6
6,1,21,1,19.4,56.0,467.0,470.0
6,1,22,1,18.7,58.0,434.0,470.4
6,1,23,1,18.3,64.0,478.0,470.8
6,2,0,1,17.6,69.0,429.0,471.2
6,2,2,1,16.2,69.0,395.0,472.0
6,2,3,1,15.5,71.0,432.0,472.4
6,2,4,1,14.9,87.0,386.0,472.8
6,2,5,1,14.4,92.0,377.0,473.1
6,2,6,1,14.8,90.0,389.0,473.5
6,2,7,1,15.6,82.0,411.0,473.8
6,2,8,1,17.4,68.0,409.0,474.2
6,2,9,1,20.2,53.0,519.0,474.6
6,2,10,1,22.1,41.0,549.0,475.0
6,2,11,1,25.6,36.0,489.0,475.5
6,2,12,1,26.3,31.0,476.0,475.9
6,2,13,1,26.6,24.0,499.0,476.3
6,2,14,1,27.2,24.0,518.0,476.8
6,2,15,1,27.6,28.0,512.0,477.3
6,2,16,1,26.7,36.0,596.0,477.7
6,2,17,1,26.0,49.0,501.0,478.2
6,2,18,1,24.7,53.0,494.0,478.7
6,2,19,1,23.3,61.0,514.0,479.2
6,2,20,1,22.3,72.0,488.0,479.6
6,2,21,1,21.2,79.0,545.0,480.1
6,2,22,1,20.3,83.0,472.0,480.6
6,2,23,1,19.7,87.0,508.0,481.0
6,3,0,1,19.9,85.0,492.0,481.5
6,3,1,1,19.8,83.0,488.0,481.9
6,3,3,1,19.9,84.0,411.0,482.7
6,3,4,1,18.8,93.0,414.0,483.1
6,3,5,1,18.3,96.0,472.0,483.5
6,3,6,1,18.7,96.0,460.0,483.9
6,3,7,1,19.4,95.0,427.0,484.4
6,3,8,1,20.2,92.0,559.0,484.8
6,3,9,1,20.6,91.0,556.0,485.2
6,3,10,1,21.6,86.0,613.0,485.8
6,3,11,1,22.6,86.0,597.0,486.3
6,3,12,1,24.6,80.0,570.0,486.8
6,3,13,1,24.8,75.0,614.0,487.4
6,3,14,1,25.6,74.0,562.0,487.9
6,3,15,1,26.7,66.0,662.0,488.4
6,3,16,1,27.9,65.0,587.0,489.0
6,3,17,1,27.4,60.0,582.0,489.6
6,3,18,1,25.4,73.0,580.0,490.1
6,3,19,1,24.2,80.0,510.0,490.6
6,3,20,1,24.0,77.0,551.0,491.1
6,3,21,1,23.8,81.0,497.0,491.6
6,3,22,1,23.2,88.0,477.0,492.1
6,3,23,1,22.5,94.0,518.0,492.6
6,4,0,1,21.9,96.0,499.0,493.0
6,4,1,1,21.8,96.0,504.0,493.5
6,4,2,1,21.5,95.0,440.0,493.9
6,5,5,1,20.6,98.0,436.0,507.2
6,5,6,1,20.3,98.0,443.0,507.7
6,5,7,1,20.8,97.0,499.0,508.1
6,5,8,1,22.3,94.0,547.0,508.5
6,5,9,1,23.9,85.0,577.0,509.0
6,5,10,1,25.4,81.0,641.0,509.5
6,5,11,1,27.2,70.0,635.0,510.1
6,5,12,1,28.7,60.0,613.0,510.7
6,5,13,1,29.4,56.0,654.0,511.3
6,5,14,1,31.0,53.0,709.0,511.8
6,5,15,1,32.1,47.0,709.0,512.5
6,5,16,1,31.2,46.0,659.0,513.1
6,5,17,1,31.3,55.0,655.0,513.7
6,5,18,1,28.6,65.0,558.0,514.3
6,5,19,1,27.1,72.0,567.0,514.8
6,5,20,1,25.0,80.0,507.0,515.4
6,5,21,1,23.8,86.0,529.0,515.8
6,5,22,1,22.6,90.0,518.0,516.3
6,5,23,1,22.3,88.0,449.0,516.8
6,6,0,0,21.9,92.0,490.0,517.2
6,6,1,0,22.0,90.0,423.0,517.6
6,6,2,0,21.8,92.0,478.0,518.0
6,6,3,0,21.4,95.0,418.0,518.5
6,6,4,0,20.7,96.0,444.0,518.9
6,6,6,0,21.1,96.0,482.0,519.7
6,6,7,0,21.8,95.0,433.0,520.1
6,6,8,0,23.1,91.0,437.0,520.6
6,6,9,0,24.1,84.0,484.0,521.0
6,6,10,0,25.1,81.0,434.0,521.4
6,6,11,0,27.2,73.0,482.0,521.8
6,6,12,0,28.4,68.0,461.0,522.2
6,6,13,0,29.4,63.0,475.0,522.6
6,6,14,0,29.7,57.0,541.0,523.1
6,6,15,0,29.4,59.0,499.0,523.5
6,6,16,0,29.0,61.0,540.0,524.0
6,6,17,0,26.4,72.0,544.0,524.5
6,6,18,0,24.8,77.0,485.0,525.0
6,6,19,0,23.5,81.0,523.0,525.4
6,6,20,0,23.1,82.0,470.0,525.9
6,6,21,0,20.9,97.0,476.0,526.3
6,6,22,0,21.6,95.0,491.0,526.8
6,6,23,0,21.5,96.0,456.0,527.2
6,7,0,0,21.5,95.0,492.0,527.7
6,7,1,0,21.1,94.0,444.0,528.1
6,7,2,0,20.8,93.0,494.0,528.5
6,7,3,0,20.4,95.0,481.0,528.9
6,7,4,0,20.3,95.0,429.0,529.4
6,7,5,0,19.9,95.0,435.0,529.8
6,7,7,0,21.1,94.0,481.0,530.6
6,7,8,0,22.0,89.0,448.0,531.0
6,7,9,0,23.2,81.0,491.0,531.5
6,7,10,0,25.2,55.0,491.0,531.9
6,7,11,0,25.9,55.0,410.0,532.3
6,7,12,0,26.8,52.0,461.0,532.7
6,7,13,0,29.1,51.0,505.0,533.1
6,7,14,0,29.3,54.0,505.0,533.5
6,7,15,0,29.5,47.0,489.0,533.9
6,7,16,0,30.7,46.0,477.0,534.4
6,7,17,0,28.5,50.0,541.0,534.8
6,7,18,0,28.4,55.0,482.0,535.3
6,7,19,0,26.5,62.0,502.0,535.7
6,7,20,0,24.7,70.0,523.0,536.2
6,7,21,0,23.6,76.0,477.0,536.6
6,7,22,0,23.1,75.0,523.0,537.1
6,7,23,0,22.7,77.0,517.0,537.6
6,8,0,1,22.1,69.0,506.0,538.0
6,8,1,1,21.7,86.0,433.0,538.4
6,8,2,1,21.3,91.0,492.0,538.9
6,8,3,1,20.5,86.0,442.0,539.3
6,8,4,1,20.5,92.0,437.0,539.7
6,8,5,1,20.3,92.0,436.0,540.1
6,8,6,1,19.7,96.0,502.0,540.5
6,9,9,1,27.0,45.0,605.0,554.1
6,9,10,1,28.7,43.0,658.0,554.6
6,9,11,1,30.1,40.0,638.0,555.2
6,9,12,1,30.9,40.0,588.0,555.8
6,9,13,1,32.0,39.0,646.0,556.3
6,9,14,1,32.7,39.0,688.0,556.9
6,9,15,1,32.3,40.0,670.0,557.5
6,9,16,1,32.1,44.0,652.0,558.1
6,9,17,1,30.1,49.0,643.0,558.7
6,9,18,1,29.9,51.0,565.0,559.3
6,9,19,1,28.1,56.0,598.0,559.8
6,9,20,1,27.1,59.0,536.0,560.4
6,9,21,1,26.5,63.0,565.0,560.9
6,9,22,1,26.2,65.0,507.0,561.4
6,9,23,1,26.0,67.0,540.0,561.9
6,10,0,1,25.1,72.0,523.0,562.3
6,10,1,1,24.4,74.0,552.0,562.8
6,10,2,1,24.5,75.0,493.0,563.3
6,10,3,1,24.2,76.0,479.0,563.8
6,10,4,1,23.3,81.0,524.0,564.2
6,10,5,1,22.7,85.0,464.0,564.7
6,10,6,1,22.6,85.0,477.0,565.1
6,10,7,1,23.2,84.0,526.0,565.6
6,10,8,1,25.8,70.0,561.0,566.1
6,11,11,1,24.9,94.0,650.0,580.8
6,11,12,1,26.5,88.0,639.0,581.4
6,11,13,1,26.1,88.0,664.0,582.0
6,11,14,1,26.5,88.0,725.0,582.6
6,11,15,1,28.6,81.0,704.0,583.3
6,11,16,1,30.6,63.0,671.0,583.9
6,11,17,1,29.7,70.0,701.0,584.5
6,11,18,1,29.0,73.0,646.0,585.2
6,11,19,1,28.5,76.0,618.0,585.8
6,11,20,1,27.1,87.0,554.0,586.3
6,11,21,1,26.0,90.0,560.0,586.9
6,11,22,1,25.2,92.0,565.0,587.4
6,11,23,1,24.7,92.0,509.0,587.9
6,12,0,1,24.1,93.0,560.0,588.4
6,12,1,1,23.6,94.0,548.0,588.9
6,12,2,1,23.4,96.0,486.0,589.4
6,12,3,1,23.5,96.0,474.0,589.8
6,12,4,1,23.7,95.0,475.0,590.3
6,12,5,1,23.4,96.0,503.0,590.7
6,12,6,1,23.3,96.0,472.0,591.2
6,12,7,1,23.5,96.0,492.0,591.6
6,12,8,1,24.1,95.0,571.0,592.1
6,12,9,1,25.6,89.0,681.0,592.6
6,12,10,1,25.7,90.0,678.0,593.2
6,12,12,1,27.6,76.0,675.0,594.5
6,12,13,1,28.5,75.0,708.0,595.1
6,12,14,1,30.6,60.0,683.0,595.7
6,12,15,1,30.5,59.0,638.0,596.3
6,12,16,1,29.3,64.0,708.0,596.9
6,12,17,1,28.0,68.0,618.0,597.5
6,12,18,1,25.9,83.0,567.0,598.1
6,12,19,1,24.4,94.0,568.0,598.6
6,12,20,1,23.9,96.0,527.0,599.2
6,12,21,1,24.1,95.0,575.0,599.7
6,12,22,1,23.6,98.0,507.0,600.2
6,12,23,1,22.7,99.0,502.0,600.7
6,13,0,0,22.7,99.0,558.0,601.1
6,13,1,0,22.7,99.0,483.0,601.6
6,13,2,0,22.6,99.0,537.0,602.1
6,13,3,0,22.2,99.0,465.0,602.5
6,13,4,0,22.0,99.0,465.0,603.0
6,13,5,0,22.0,99.0,498.0,603.4
6,13,6,0,22.2,99.0,511.0,603.9
6,13,7,0,22.6,99.0,503.0,604.3
6,13,8,0,22.9,99.0,484.0,604.8
6,13,9,0,23.1,98.0,542.0,605.2
6,13,10,0,24.1,97.0,534.0,605.7
6,13,11,0,25.7,92.0,573.0,606.2
6,13,13,0,25.7,92.0,584.0,607.2
6,13,14,0,26.4,87.0,584.0,607.8
6,13,15,0,25.9,93.0,645.0,608.3
6,13,16,0,25.2,95.0,637.0,608.9
6,13,17,0,25.7,94.0,597.0,609.4
6,13,18,0,25.0,95.0,547.0,610.0
6,13,19,0,24.9,95.0,523.0,610.5
6,13,20,0,23.4,99.0,569.0,611.0
6,13,21,0,23.1,99.0,529.0,611.5
6,13,22,0,23.2,99.0,546.0,612.0
6,13,23,0,23.4,99.0,543.0,612.5
6,14,0,0,23.2,99.0,507.0,613.0
6,14,1,0,23.2,99.0,537.0,613.5
6,14,2,0,23.2,99.0,493.0,614.0
6,14,3,0,23.2,99.0,529.0,614.4
6,14,4,0,23.0,99.0,481.0,614.9
6,14,5,0,22.9,99.0,477.0,615.4
6,14,6,0,22.9,99.0,488.0,615.8
6,14,7,0,23.0,99.0,535.0,616.3
6,14,8,0,23.2,99.0,528.0,616.7
6,14,9,0,22.9,99.0,505.0,617.2
6,14,10,0,22.9,99.0,540.0,617.7
6,14,11,0,22.9,99.0,507.0,618.2
6,14,12,0,23.1,99.0,549.0,618.6
6,15,15,1,29.4,43.0,647.0,631.7
6,15,16,1,29.2,51.0,662.0,632.3
6,15,17,1,27.4,50.0,604.0,632.9
6,15,18,1,27.0,50.0,570.0,633.4
6,15,19,1,25.3,53.0,599.0,634.0
6,15,20,1,23.8,55.0,535.0,634.5
6,15,21,1,22.6,68.0,578.0,635.0
6,15,22,1,22.0,74.0,522.0,635.5
6,15,23,1,22.1,64.0,538.0,636.0
6,16,0,1,21.2,71.0,537.0,636.5
6,16,1,1,20.9,74.0,516.0,637.0
6,16,2,1,20.4,78.0,467.0,637.4
6,16,3,1,20.4,78.0,461.0,637.9
6,16,4,1,19.9,84.0,458.0,638.3
6,16,5,1,19.2,89.0,496.0,638.7
6,16,6,1,19.3,90.0,478.0,639.2
6,16,7,1,19.9,92.0,464.0,639.6
6,16,8,1,21.1,91.0,523.0,640.1
6,16,9,1,22.5,84.0,593.0,640.5
6,16,10,1,24.0,67.0,569.0,641.1
6,16,11,1,25.2,64.0,618.0,641.6
6,16,12,1,26.7,55.0,612.0,642.2
6,16,13,1,28.1,48.0,618.0,642.7
6,16,14,1,28.0,52.0,671.0,643.3
6,16,16,1,29.5,41.0,626.0,644.4
6,16,17,1,28.7,35.0,582.0,645.0
6,16,18,1,28.4,37.0,562.0,645.5
6,16,19,1,26.3,45.0,538.0,646.0
6,16,20,1,25.1,52.0,607.0,646.5
6,16,21,1,23.6,61.0,599.0,647.0
6,16,22,1,23.1,65.0,578.0,647.5
6,16,23,1,22.8,70.0,545.0,648.1
6,17,0,1,22.2,77.0,526.0,648.6
6,17,1,1,21.6,83.0,529.0,649.0
6,17,2,1,21.2,85.0,526.0,649.5
6,17,3,1,20.6,90.0,473.0,650.0
6,17,4,1,20.6,87.0,475.0,650.4
6,17,5,1,20.2,90.0,468.0,650.9
6,17,6,1,20.1,92.0,546.0,651.3
6,17,7,1,20.7,89.0,480.0,651.8
6,17,8,1,22.3,72.0,586.0,652.3
6,17,9,1,22.9,73.0,635.0,652.8
6,17,10,1,23.3,68.0,638.0,653.3
6,17,11,1,25.9,62.0,643.0,653.9
6,17,12,1,26.6,55.0,562.0,654.5
6,17,13,1,26.7,60.0,642.0,655.0
6,17,14,1,25.5,61.0,683.0,655.6
6,17,15,1,25.3,62.0,657.0,656.2
6,17,17,1,24.5,73.0,679.0,657.4
6,17,18,1,23.2,79.0,541.0,658.0
6,17,19,1,22.7,78.0,579.0,658.5
6,17,20,1,22.0,82.0,523.0,659.0
6,17,21,1,21.3,84.0,550.0,659.5
6,17,22,1,19.5,94.0,494.0,660.0
6,17,23,1,18.3,95.0,541.0,660.5
6,18,0,1,17.5,96.0,475.0,661.0
6,18,1,1,17.4,98.0,520.0,661.4
6,18,2,1,18.0,99.0,519.0,661.9
6,18,3,1,18.1,99.0,448.0,662.3
6,18,4,1,18.4,99.0,505.0,662.7
6,18,5,1,18.2,99.0,444.0,663.2
6,18,6,1,18.3,99.0,454.0,663.6
6,18,7,1,18.3,99.0,516.0,664.0
6,18,8,1,17.9,98.0,572.0,664.5
6,18,9,1,18.2,98.0,624.0,665.0
6,18,10,1,18.6,98.0,629.0,665.6
6,18,11,1,17.4,99.0,613.0,666.1
6,18,12,1,17.2,99.0,633.0,666.7
6,18,13,1,17.5,99.0,581.0,667.3
