month,date,time,day,temp,humid,active_power,active_energy
7,11,2,0,22.4,97.0,53.0,87.2
7,11,3,0,22.4,97.0,43.0,87.2
7,11,4,0,22.0,99.0,41.0,87.2
7,11,5,0,22.2,99.0,40.0,87.3
7,11,6,0,22.5,98.0,39.0,87.3
7,11,7,0,22.6,98.0,43.0,87.3
7,11,8,0,23.0,98.0,44.0,87.4
7,11,9,0,23.6,96.0,56.0,87.4
7,11,10,0,25.0,91.0,55.0,87.5
7,11,11,0,26.7,79.0,63.0,87.5
7,11,12,0,26.9,74.0,66.0,87.6
7,11,13,0,28.0,75.0,70.0,87.6
7,11,14,0,27.4,78.0,69.0,87.7
7,11,15,0,27.7,77.0,66.0,87.7
7,11,16,0,27.7,75.0,68.0,87.8
7,11,17,0,27.8,81.0,69.0,87.9
7,11,18,0,27.2,81.0,63.0,87.9
7,11,19,0,26.7,82.0,62.0,88.0
7,11,20,0,25.4,89.0,66.0,88.0
7,11,21,0,25.1,94.0,92.0,88.1
7,11,22,0,24.7,94.0,70.0,88.2
7,11,23,0,24.8,93.0,70.0,88.2
7,12,0,0,24.1,88.0,66.0,88.3
7,12,1,0,23.7,86.0,59.0,88.4
7,12,3,0,23.3,85.0,50.0,88.5
7,12,4,0,23.2,91.0,43.0,88.5
7,12,5,0,23.3,87.0,41.0,88.5
7,12,6,0,23.1,89.0,39.0,88.6
7,12,7,0,23.0,91.0,39.0,88.6
7,12,8,0,23.4,90.0,44.0,88.7
7,12,9,0,23.6,89.0,48.0,88.7
7,12,10,0,23.2,94.0,50.0,88.7
7,12,11,0,22.3,95.0,55.0,88.8
7,12,12,0,21.9,98.0,60.0,88.8
7,12,13,0,22.6,98.0,60.0,88.9
7,12,14,0,21.6,98.0,64.0,88.9
7,12,15,0,21.4,99.0,64.0,89.0
7,12,16,0,20.9,99.0,64.0,89.0
7,12,17,0,20.8,99.0,63.0,89.1
7,12,18,0,20.9,99.0,72.0,89.2
7,12,19,0,20.2,99.0,71.0,89.2
7,12,20,0,20.4,98.0,70.0,89.3
7,12,21,0,20.3,98.0,96.0,89.4
7,12,22,0,21.0,96.0,68.0,89.4
7,12,23,0,21.0,96.0,66.0,89.5
7,13,0,1,20.3,98.0,60.0,89.5
7,13,1,1,20.5,99.0,54.0,89.6
7,13,2,1,20.2,99.0,46.0,89.7
7,13,4,1,20.1,99.0,40.0,89.7
7,13,5,1,20.3,99.0,52.0,89.8
7,13,6,1,20.3,99.0,52.0,89.8
7,13,7,1,20.5,99.0,40.0,89.8
7,13,8,1,20.8,99.0,63.0,89.9
7,13,9,1,20.8,99.0,61.0,89.9
7,13,10,1,20.9,99.0,64.0,90.0
7,13,11,1,20.9,99.0,61.0,90.0
7,13,12,1,21.4,99.0,55.0,90.1
7,13,13,1,23.4,99.0,56.0,90.1
7,13,14,1,25.5,98.0,59.0,90.2
7,13,15,1,25.3,94.0,56.0,90.2
7,13,16,1,24.1,92.0,54.0,90.3
7,13,17,1,23.9,94.0,63.0,90.3
7,13,18,1,23.1,96.0,56.0,90.4
7,13,19,1,22.2,97.0,55.0,90.4
7,13,20,1,21.3,98.0,63.0,90.5
7,13,21,1,20.7,99.0,70.0,90.5
7,13,22,1,20.3,99.0,86.0,90.6
7,13,23,1,20.3,99.0,67.0,90.6
7,14,0,1,20.1,99.0,84.0,90.7
7,14,1,1,19.7,99.0,55.0,90.8
7,14,2,1,20.0,99.0,69.0,90.8
