month,date,time,day,temp,humid,active_power,active_energy
7,11,2,0,22.4,97.0,38.0,532.2
7,11,3,0,22.4,97.0,30.0,532.2
7,11,4,0,22.0,99.0,31.0,532.2
7,11,5,0,22.2,99.0,30.0,532.2
7,11,6,0,22.5,98.0,28.0,532.3
7,11,7,0,22.6,98.0,30.0,532.3
7,11,8,0,23.0,98.0,30.0,532.3
7,11,9,0,23.6,96.0,42.0,532.3
7,11,10,0,25.0,91.0,47.0,532.4
7,11,11,0,26.7,79.0,47.0,532.4
7,11,12,0,26.9,74.0,52.0,532.4
7,11,13,0,28.0,75.0,43.0,532.5
7,11,14,0,27.4,78.0,53.0,532.5
7,11,15,0,27.7,77.0,46.0,532.5
7,11,16,0,27.7,75.0,46.0,532.6
7,11,17,0,27.8,81.0,42.0,532.6
7,11,18,0,27.2,81.0,47.0,532.6
7,11,19,0,26.7,82.0,41.0,532.7
7,11,20,0,25.4,89.0,41.0,532.7
7,11,21,0,25.1,94.0,47.0,532.7
7,11,22,0,24.7,94.0,40.0,532.8
7,11,23,0,24.8,93.0,37.0,532.8
7,12,0,0,24.1,88.0,53.0,532.8
7,12,1,0,23.7,86.0,39.0,532.9
7,12,3,0,23.3,85.0,38.0,532.9
7,12,4,0,23.2,91.0,31.0,532.9
7,12,5,0,23.3,87.0,37.0,533.0
7,12,6,0,23.1,89.0,27.0,533.0
7,12,7,0,23.0,91.0,29.0,533.0
7,12,8,0,23.4,90.0,32.0,533.0
7,12,9,0,23.6,89.0,40.0,533.1
7,12,10,0,23.2,94.0,44.0,533.1
7,12,11,0,22.3,95.0,41.0,533.1
7,12,12,0,21.9,98.0,42.0,533.2
7,12,13,0,22.6,98.0,44.0,533.2
7,12,14,0,21.6,98.0,40.0,533.2
7,12,15,0,21.4,99.0,49.0,533.3
7,12,16,0,20.9,99.0,54.0,533.3
7,12,17,0,20.8,99.0,45.0,533.3
7,12,18,0,20.9,99.0,47.0,533.4
7,12,19,0,20.2,99.0,47.0,533.4
7,12,20,0,20.4,98.0,45.0,533.4
7,12,21,0,20.3,98.0,48.0,533.5
7,12,22,0,21.0,96.0,44.0,533.5
7,12,23,0,21.0,96.0,49.0,533.5
7,13,0,1,20.3,98.0,37.0,533.5
7,13,1,1,20.5,99.0,38.0,533.6
7,13,2,1,20.2,99.0,38.0,533.6
7,13,4,1,20.1,99.0,35.0,533.7
7,13,5,1,20.3,99.0,31.0,533.7
7,13,6,1,20.3,99.0,32.0,533.7
