month,date,time,day,temp,humid,active_power,active_energy
6,1,1,1,19.3,93.0,141.0,974.5
6,1,2,1,19.2,94.0,141.0,974.6
6,1,3,1,19.1,96.0,156.0,974.7
6,1,4,1,18.6,98.0,156.0,974.8
6,1,5,1,18.6,97.0,143.0,975.0
6,1,6,1,18.7,96.0,155.0,975.1
6,1,7,1,18.9,95.0,178.0,975.3
6,1,8,1,19.6,91.0,231.0,975.4
6,1,9,1,20.1,88.0,233.0,975.6
6,1,10,1,20.9,78.0,199.0,975.8
6,1,11,1,23.1,64.0,235.0,976.0
6,1,12,1,23.5,52.0,216.0,976.2
6,1,13,1,25.2,43.0,242.0,976.4
6,1,14,1,25.5,39.0,256.0,976.6
6,1,15,1,25.9,33.0,239.0,976.8
6,1,16,1,25.4,27.0,246.0,977.0
6,1,17,1,24.9,28.0,225.0,977.3
6,1,18,1,24.5,25.0,226.0,977.5
6,1,19,1,22.7,43.0,195.0,977.7
6,1,20,1,21.0,47.0,194.0,977.9
6,1,21,1,19.4,56.0,189.0,978.0
6,1,22,1,18.7,58.0,194.0,978.2
6,1,23,1,18.3,64.0,166.0,978.4
6,2,0,1,17.6,69.0,143.0,978.5
6,2,2,1,16.2,69.0,138.0,978.8
6,2,3,1,15.5,71.0,133.0,978.9
6,2,4,1,14.9,87.0,157.0,979.0
6,2,5,1,14.4,92.0,156.0,979.2
6,2,6,1,14.8,90.0,153.0,979.3
6,2,7,1,15.6,82.0,166.0,979.4
6,2,8,1,17.4,68.0,219.0,979.6
6,2,9,1,20.2,53.0,216.0,979.8
6,2,10,1,22.1,41.0,216.0,980.0
6,2,11,1,25.6,36.0,212.0,980.2
6,2,12,1,26.3,31.0,210.0,980.4
6,2,13,1,26.6,24.0,286.0,980.5
6,2,14,1,27.2,24.0,269.0,980.8
6,2,15,1,27.6,28.0,270.0,981.0
6,2,16,1,26.7,36.0,269.0,981.2
6,2,17,1,26.0,49.0,274.0,981.5
6,2,18,1,24.7,53.0,252.0,981.7
6,2,19,1,23.3,61.0,242.0,981.9
6,2,20,1,22.3,72.0,203.0,982.1
6,2,21,1,21.2,79.0,192.0,982.3
6,2,22,1,20.3,83.0,189.0,982.5
6,2,23,1,19.7,87.0,164.0,982.6
6,3,0,1,19.9,85.0,145.0,982.8
6,3,1,1,19.8,83.0,165.0,982.9
6,3,3,1,19.9,84.0,136.0,983.2
6,3,4,1,18.8,93.0,140.0,983.3
6,3,5,1,18.3,96.0,157.0,983.4
6,3,6,1,18.7,96.0,152.0,983.6
6,3,7,1,19.4,95.0,183.0,983.7
6,3,8,1,20.2,92.0,221.0,983.9
6,3,9,1,20.6,91.0,219.0,984.0
6,3,10,1,21.6,86.0,216.0,984.2
6,3,11,1,22.6,86.0,207.0,984.4
6,3,12,1,24.6,80.0,215.0,984.6
6,3,13,1,24.8,75.0,263.0,984.8
6,3,14,1,25.6,74.0,245.0,985.0
6,3,15,1,26.7,66.0,245.0,985.3
6,3,16,1,27.9,65.0,220.0,985.5
6,3,17,1,27.4,60.0,241.0,985.7
6,3,18,1,25.4,73.0,208.0,985.9
6,3,19,1,24.2,80.0,205.0,986.1
6,3,20,1,24.0,77.0,203.0,986.3
6,3,21,1,23.8,81.0,198.0,986.4
6,3,22,1,23.2,88.0,197.0,986.6
6,3,23,1,22.5,94.0,168.0,986.8
6,4,0,1,21.9,96.0,160.0,986.9
6,4,1,1,21.8,96.0,150.0,987.1
