month,date,time,day,temp,humid,active_power,active_energy
7,11,2,0,22.4,97.0,52.0,181.6
7,11,3,0,22.4,97.0,54.0,181.7
7,11,4,0,22.0,99.0,52.0,181.7
7,11,5,0,22.2,99.0,48.0,181.8
7,11,6,0,22.5,98.0,48.0,181.8
7,11,7,0,22.6,98.0,47.0,181.9
7,11,8,0,23.0,98.0,56.0,181.9
7,11,9,0,23.6,96.0,54.0,182.0
7,11,10,0,25.0,91.0,54.0,182.0
7,11,11,0,26.7,79.0,60.0,182.1
7,11,12,0,26.9,74.0,55.0,182.1
7,11,13,0,28.0,75.0,57.0,182.2
7,11,14,0,27.4,78.0,58.0,182.2
7,11,15,0,27.7,77.0,56.0,182.2
7,11,16,0,27.7,75.0,56.0,182.3
7,11,17,0,27.8,81.0,59.0,182.3
7,11,18,0,27.2,81.0,51.0,182.4
7,11,19,0,26.7,82.0,53.0,182.4
7,11,20,0,25.4,89.0,61.0,182.5
7,11,21,0,25.1,94.0,57.0,182.5
7,11,22,0,24.7,94.0,53.0,182.6
7,11,23,0,24.8,93.0,56.0,182.6
7,12,0,0,24.1,88.0,54.0,182.7
7,12,1,0,23.7,86.0,53.0,182.7
7,12,3,0,23.3,85.0,52.0,182.8
7,12,4,0,23.2,91.0,52.0,182.9
7,12,5,0,23.3,87.0,49.0,182.9
7,12,6,0,23.1,89.0,47.0,183.0
7,12,7,0,23.0,91.0,48.0,183.0
7,12,8,0,23.4,90.0,50.0,183.1
7,12,9,0,23.6,89.0,64.0,183.1
7,12,10,0,23.2,94.0,51.0,183.2
7,12,11,0,22.3,95.0,51.0,183.2
7,12,12,0,21.9,98.0,58.0,183.3
7,12,13,0,22.6,98.0,53.0,183.3
7,12,14,0,21.6,98.0,54.0,183.3
7,12,15,0,21.4,99.0,55.0,183.4
7,12,16,0,20.9,99.0,55.0,183.4
7,12,17,0,20.8,99.0,57.0,183.5
7,12,18,0,20.9,99.0,55.0,183.5
7,12,19,0,20.2,99.0,52.0,183.6
7,12,20,0,20.4,98.0,54.0,183.6
7,12,21,0,20.3,98.0,54.0,183.7
7,12,22,0,21.0,96.0,63.0,183.7
7,12,23,0,21.0,96.0,59.0,183.8
7,13,0,1,20.3,98.0,58.0,183.8
7,13,1,1,20.5,99.0,52.0,183.9
7,13,2,1,20.2,99.0,61.0,183.9
7,13,4,1,20.1,99.0,53.0,184.0
7,13,5,1,20.3,99.0,50.0,184.1
7,13,6,1,20.3,99.0,49.0,184.1
7,13,7,1,20.5,99.0,54.0,184.2
7,13,8,1,20.8,99.0,72.0,184.2
7,13,9,1,20.8,99.0,96.0,184.3
7,13,10,1,20.9,99.0,99.0,184.3
7,13,11,1,20.9,99.0,89.0,184.4
7,13,12,1,21.4,99.0,90.0,184.5
7,13,13,1,23.4,99.0,96.0,184.6
7,13,14,1,25.5,98.0,106.0,184.7
7,13,15,1,25.3,94.0,98.0,184.8
7,13,16,1,24.1,92.0,102.0,184.9
7,13,17,1,23.9,94.0,95.0,185.0
7,13,18,1,23.1,96.0,86.0,185.0
7,13,19,1,22.2,97.0,73.0,185.1
7,13,20,1,21.3,98.0,67.0,185.2
7,13,21,1,20.7,99.0,67.0,185.2
7,13,22,1,20.3,99.0,64.0,185.3
7,13,23,1,20.3,99.0,62.0,185.3
7,14,0,1,20.1,99.0,60.0,185.4
7,14,1,1,19.7,99.0,61.0,185.5
7,14,2,1,20.0,99.0,58.0,185.5
7,14,3,1,19.5,99.0,60.0,185.6
7,15,6,1,18.9,99.0,60.0,187.4
7,15,7,1,19.1,99.0,65.0,187.5
7,15,8,1,19.5,99.0,87.0,187.6
7,15,9,1,19.7,99.0,96.0,187.6
7,15,10,1,20.0,99.0,98.0,187.7
7,15,11,1,21.0,98.0,107.0,187.8
7,15,12,1,20.5,99.0,100.0,187.9
7,15,13,1,21.4,98.0,118.0,188.0
7,15,14,1,21.5,98.0,113.0,188.1
7,15,15,1,21.4,96.0,120.0,188.2
7,15,16,1,21.2,96.0,108.0,188.3
7,15,17,1,20.6,98.0,101.0,188.4
7,15,18,1,19.7,99.0,89.0,188.5
