date-time,temp,humid
2020-06-08-20,27.2,44.0
2020-06-08-21,26.5,46.0
2020-06-08-22,25.7,49.0
2020-06-08-23,24.8,50.0
2020-06-09-0,24.3,54.0
2020-06-09-1,23.2,58.0
2020-06-09-2,22.5,61.0
2020-06-09-3,22.0,62.0
2020-06-09-4,21.1,53.0
2020-06-09-5,20.8,66.0
2020-06-09-6,20.2,72.0
2020-06-09-7,21.3,69.0
2020-06-09-8,24.4,55.0
2020-06-09-9,27.0,45.0
2020-06-09-10,28.7,43.0
2020-06-09-11,30.1,40.0
2020-06-09-12,30.9,40.0
2020-06-09-13,32.0,39.0
2020-06-09-14,32.7,39.0
2020-06-09-15,32.3,40.0
2020-06-09-16,32.1,44.0
2020-06-09-17,30.1,49.0
2020-06-09-18,29.9,51.0
2020-06-09-19,28.1,56.0
2020-06-09-20,27.1,59.0
2020-06-09-21,26.5,63.0
2020-06-09-22,26.2,65.0
2020-06-09-23,26.0,67.0
2020-06-10-0,25.1,72.0
2020-06-10-1,24.4,74.0
2020-06-10-2,24.5,75.0
2020-06-10-3,24.2,76.0
2020-06-10-4,23.3,81.0
2020-06-10-5,22.7,85.0
2020-06-10-6,22.6,85.0
2020-06-10-7,23.2,84.0
2020-06-10-8,25.8,70.0
2020-06-10-9,27.2,62.0
2020-06-10-10,29.8,57.0
2020-06-10-11,30.3,51.0
2020-06-10-12,30.1,50.0
2020-06-10-13,31.5,45.0
2020-06-10-14,30.5,48.0
2020-06-10-15,29.1,57.0
2020-06-10-16,28.4,58.0
2020-06-10-17,24.7,75.0
2020-06-10-18,21.6,98.0
2020-06-10-19,21.7,97.0
2020-06-10-20,22.0,97.0
2020-06-10-21,22.2,94.0
2020-06-10-22,22.1,96.0
2020-06-10-23,22.6,96.0
2020-06-11-0,22.4,97.0
2020-06-11-1,22.2,98.0
2020-06-11-2,22.2,99.0
2020-06-11-3,22.7,99.0
2020-06-11-4,22.2,99.0
2020-06-11-5,22.4,99.0
2020-06-11-6,22.2,99.0
2020-06-11-7,22.6,99.0
2020-06-11-8,22.8,99.0
2020-06-11-9,23.9,97.0
2020-06-11-10,24.6,95.0
2020-06-11-11,24.9,94.0
2020-06-11-12,26.5,88.0
2020-06-11-13,26.1,88.0
2020-06-11-14,26.5,88.0
2020-06-11-15,28.6,81.0
2020-06-11-16,30.6,63.0
2020-06-11-17,29.7,70.0
2020-06-11-18,29.0,73.0
2020-06-11-19,28.5,76.0
2020-06-11-20,27.1,87.0
2020-06-11-21,26.0,90.0
2020-06-11-22,25.2,92.0
2020-06-11-23,24.7,92.0
2020-06-12-0,24.1,93.0
2020-06-12-1,23.6,94.0
2020-06-12-2,23.4,96.0
2020-06-12-3,23.5,96.0
2020-06-12-4,23.7,95.0
2020-06-12-5,23.4,96.0
2020-06-12-6,23.3,96.0
2020-06-12-7,23.5,96.0
2020-06-12-8,24.1,95.0
2020-06-12-9,25.6,89.0
2020-06-12-10,25.7,90.0
2020-06-12-11,26.1,88.0
2020-06-12-12,27.6,76.0
2020-06-12-13,28.5,75.0
2020-06-12-14,30.6,60.0
2020-06-12-15,30.5,59.0
2020-06-12-16,29.3,64.0
2020-06-12-17,28.0,68.0
2020-06-12-18,25.9,83.0
2020-06-12-19,24.4,94.0
2020-06-12-20,23.9,96.0
2020-06-12-21,24.1,95.0
2020-06-12-22,23.6,98.0
2020-06-12-23,22.7,99.0
2020-06-13-0,22.7,99.0
2020-06-13-1,22.7,99.0
2020-06-13-2,22.6,99.0
2020-06-13-3,22.2,99.0
2020-06-13-4,22.0,99.0
2020-06-13-5,22.0,99.0
2020-06-13-6,22.2,99.0
2020-06-13-7,22.6,99.0
2020-06-13-8,22.9,99.0
2020-06-13-9,23.1,98.0
2020-06-13-10,24.1,97.0
2020-06-13-11,25.7,92.0
2020-06-13-12,26.1,86.0
2020-06-13-13,25.7,92.0
2020-06-13-14,26.4,87.0
2020-06-13-15,25.9,93.0
2020-06-13-16,25.2,95.0
2020-06-13-17,25.7,94.0
2020-06-13-18,25.0,95.0
2020-06-13-19,24.9,95.0
2020-06-13-20,23.4,99.0
2020-06-13-21,23.1,99.0
2020-06-13-22,23.2,99.0
2020-06-13-23,23.4,99.0
2020-06-14-0,23.2,99.0
2020-06-14-1,23.2,99.0
2020-06-14-2,23.2,99.0
2020-06-14-3,23.2,99.0
2020-06-14-4,23.0,99.0
2020-06-14-5,22.9,99.0
2020-06-14-6,22.9,99.0
2020-06-14-7,23.0,99.0
2020-06-14-8,23.2,99.0
2020-06-14-9,22.9,99.0
2020-06-14-10,22.9,99.0
2020-06-14-11,22.9,99.0
2020-06-14-12,23.1,99.0
2020-06-14-13,23.6,99.0
2020-06-14-14,24.4,96.0
2020-06-14-15,24.0,95.0
2020-06-14-16,24.5,94.0
2020-06-14-17,25.6,82.0
2020-06-14-18,25.0,60.0
2020-06-14-19,23.9,65.0
2020-06-14-20,23.1,75.0
2020-06-14-21,22.3,90.0
2020-06-14-22,22.0,95.0
2020-06-14-23,22.0,96.0
2020-06-15-0,21.4,96.0
2020-06-15-1,21.0,97.0
2020-06-15-2,20.6,95.0
2020-06-15-3,20.0,95.0
2020-06-15-4,19.1,96.0
2020-06-15-5,18.5,97.0
2020-06-15-6,18.9,97.0
2020-06-15-7,19.6,96.0
2020-06-15-8,20.4,91.0
2020-06-15-9,21.8,78.0
2020-06-15-10,23.9,67.0
2020-06-15-11,25.8,54.0
2020-06-15-12,27.3,46.0
2020-06-15-13,27.9,47.0
2020-06-15-14,28.5,43.0
2020-06-15-15,29.4,43.0
2020-06-15-16,29.2,51.0
2020-06-15-17,27.4,50.0
2020-06-15-18,27.0,50.0
2020-06-15-19,25.3,53.0
2020-06-15-20,23.8,55.0
2020-06-15-21,22.6,68.0
2020-06-15-22,22.0,74.0
2020-06-15-23,22.1,64.0
2020-06-16-0,21.2,71.0
2020-06-16-1,20.9,74.0
2020-06-16-2,20.4,78.0
2020-06-16-3,20.4,78.0
2020-06-16-4,19.9,84.0
2020-06-16-5,19.2,89.0
2020-06-16-6,19.3,90.0
