date-time,temp,humid
2020-12-04-9,3.0,52.0
2020-12-04-10,4.1,51.0
2020-12-04-11,5.5,41.0
2020-12-04-12,6.8,38.0
2020-12-04-13,7.3,36.0
2020-12-04-14,6.4,43.0
2020-12-04-15,7.2,41.0
2020-12-04-16,6.7,44.0
2020-12-04-17,5.5,48.0
2020-12-04-18,4.5,54.0
2020-12-04-19,3.5,59.0
2020-12-04-20,3.2,61.0
2020-12-04-21,2.7,64.0
2020-12-04-22,1.8,67.0
2020-12-04-23,2.2,61.0
2020-12-05-0,1.1,67.0
2020-12-05-1,1.2,64.0
2020-12-05-2,0.4,70.0
2020-12-05-3,0.0,75.0
2020-12-05-4,-0.3,75.0
2020-12-05-5,-0.7,76.0
2020-12-05-6,-0.5,77.0
2020-12-05-7,-0.2,78.0
2020-12-05-8,-0.2,77.0
2020-12-05-9,2.1,64.0
2020-12-05-10,2.9,64.0
2020-12-05-11,4.5,60.0
2020-12-05-12,7.5,50.0
2020-12-05-13,9.5,37.0
2020-12-05-14,10.2,33.0
2020-12-05-15,10.8,34.0
2020-12-05-16,9.4,37.0
2020-12-05-17,8.2,39.0
2020-12-05-18,7.1,38.0
2020-12-05-19,6.2,40.0
2020-12-05-20,5.6,43.0
2020-12-05-21,5.4,46.0
2020-12-05-22,5.3,48.0
2020-12-05-23,4.2,53.0
2020-12-06-0,3.8,56.0
2020-12-06-1,3.1,61.0
2020-12-06-2,2.3,66.0
2020-12-06-3,1.9,70.0
2020-12-06-4,1.1,74.0
2020-12-06-5,0.5,80.0
2020-12-06-6,0.2,82.0
2020-12-06-7,0.2,84.0
2020-12-06-8,0.2,84.0
2020-12-06-9,2.3,74.0
2020-12-06-10,3.9,67.0
2020-12-06-11,6.4,59.0
2020-12-06-12,8.7,52.0
2020-12-06-13,9.5,43.0
2020-12-06-14,10.5,40.0
2020-12-06-15,10.4,37.0
2020-12-06-16,10.4,39.0
2020-12-06-17,9.6,41.0
2020-12-06-18,8.1,47.0
2020-12-06-19,6.9,53.0
2020-12-06-20,5.9,58.0
2020-12-06-21,5.5,58.0
2020-12-06-22,4.7,64.0
2020-12-06-23,4.2,67.0
2020-12-07-0,3.7,69.0
2020-12-07-1,2.3,76.0
2020-12-07-2,2.2,77.0
2020-12-07-3,1.8,79.0
2020-12-07-4,1.2,84.0
2020-12-07-5,0.9,84.0
2020-12-07-6,0.3,90.0
2020-12-07-7,1.1,88.0
2020-12-07-8,2.3,83.0
2020-12-07-9,3.0,80.0
2020-12-07-10,3.4,79.0
2020-12-07-11,4.8,73.0
2020-12-07-12,6.7,62.0
2020-12-07-13,8.5,55.0
2020-12-07-14,10.2,51.0
2020-12-07-15,9.5,56.0
2020-12-07-16,9.2,58.0
2020-12-07-17,8.8,66.0
2020-12-07-18,8.4,65.0
2020-12-07-19,7.1,65.0
2020-12-07-20,7.3,64.0
2020-12-07-21,7.0,63.0
2020-12-07-22,6.2,60.0
2020-12-07-23,4.7,66.0
2020-12-08-0,3.8,64.0
2020-12-08-1,3.0,64.0
2020-12-08-2,3.3,61.0
2020-12-08-3,3.0,60.0
2020-12-08-4,2.1,62.0
2020-12-08-5,2.9,60.0
2020-12-08-6,2.5,61.0
2020-12-08-7,2.3,62.0
2020-12-08-8,2.1,62.0
2020-12-08-9,3.4,58.0
2020-12-08-10,4.7,55.0
2020-12-08-11,5.6,52.0
2020-12-08-12,6.2,48.0
2020-12-08-13,6.2,47.0
2020-12-08-14,7.2,42.0
2020-12-08-15,6.0,45.0
2020-12-08-16,5.6,47.0
2020-12-08-17,4.6,48.0
2020-12-08-18,4.0,50.0
2020-12-08-19,3.2,55.0
2020-12-08-20,2.2,60.0
2020-12-08-21,1.5,64.0
2020-12-08-22,1.7,65.0
2020-12-08-23,1.0,68.0
2020-12-09-0,0.6,68.0
2020-12-09-1,0.4,69.0
2020-12-09-2,-0.1,74.0
2020-12-09-3,-0.3,74.0
2020-12-09-4,-0.8,74.0
2020-12-09-5,-1.0,76.0
2020-12-09-6,-1.9,83.0
2020-12-09-7,-1.8,81.0
2020-12-09-8,-1.6,81.0
2020-12-09-9,0.1,71.0
2020-12-09-10,3.2,41.0
2020-12-09-11,5.1,31.0
2020-12-09-12,6.9,24.0
2020-12-09-13,8.0,15.0
2020-12-09-14,9.4,17.0
2020-12-09-15,9.7,24.0
2020-12-09-16,9.6,18.0
2020-12-09-17,9.0,23.0
2020-12-09-18,7.0,34.0
2020-12-09-19,6.8,36.0
2020-12-09-20,6.2,39.0
2020-12-09-21,5.2,41.0
2020-12-09-22,4.8,42.0
2020-12-09-23,5.0,41.0
2020-12-10-0,4.8,43.0
2020-12-10-1,4.8,39.0
2020-12-10-2,4.7,41.0
2020-12-10-3,4.1,45.0
2020-12-10-4,4.1,45.0
2020-12-10-5,4.4,41.0
2020-12-10-6,4.5,42.0
2020-12-10-7,4.5,45.0
2020-12-10-8,5.0,39.0
2020-12-10-9,5.2,41.0
2020-12-10-10,5.5,44.0
2020-12-10-11,6.2,42.0
2020-12-10-12,7.2,40.0
2020-12-10-13,9.0,40.0
2020-12-10-14,10.3,47.0
2020-12-10-15,10.5,51.0
2020-12-10-16,10.6,52.0
2020-12-10-17,9.7,58.0
2020-12-10-18,8.8,62.0
2020-12-10-19,8.3,66.0
2020-12-10-20,7.3,72.0
2020-12-10-21,6.7,76.0
2020-12-10-22,5.8,81.0
2020-12-10-23,5.4,86.0
2020-12-11-0,5.0,88.0
2020-12-11-1,4.6,87.0
2020-12-11-2,4.4,91.0
2020-12-11-3,4.7,89.0
2020-12-11-4,4.9,88.0
2020-12-11-5,3.6,93.0
2020-12-11-6,3.5,93.0
2020-12-11-7,3.5,94.0
2020-12-11-8,3.2,94.0
2020-12-11-9,4.6,90.0
2020-12-11-10,6.5,79.0
2020-12-11-11,7.4,76.0
2020-12-11-12,9.1,67.0
2020-12-11-13,10.4,62.0
2020-12-11-14,10.2,63.0
2020-12-11-15,9.8,66.0
2020-12-11-16,9.8,68.0
2020-12-11-17,9.7,68.0
2020-12-11-18,9.1,71.0
2020-12-11-19,9.0,74.0
2020-12-11-20,8.9,77.0
2020-12-11-21,8.1,82.0
2020-12-11-22,7.7,82.0
2020-12-11-23,7.4,83.0
2020-12-12-0,7.2,86.0
2020-12-12-1,6.7,89.0
2020-12-12-2,6.5,89.0
2020-12-12-3,6.3,91.0
2020-12-12-4,6.3,90.0
2020-12-12-5,6.7,84.0
2020-12-12-6,6.8,69.0
2020-12-12-7,6.2,62.0
2020-12-12-8,5.1,67.0
2020-12-12-9,6.0,52.0
2020-12-12-10,7.1,47.0
2020-12-12-11,8.3,42.0
2020-12-12-12,8.8,34.0
2020-12-12-13,10.1,24.0
2020-12-12-14,10.3,25.0
2020-12-12-15,9.7,27.0
2020-12-12-16,9.5,29.0
2020-12-12-17,8.1,33.0
2020-12-12-18,6.6,37.0
2020-12-12-19,6.2,46.0
2020-12-12-20,5.4,49.0
2020-12-12-21,4.5,50.0
2020-12-12-22,4.2,50.0
2020-12-12-23,4.1,49.0
2020-12-13-0,3.8,51.0
2020-12-13-1,2.8,62.0
2020-12-13-2,2.9,60.0
2020-12-13-3,2.7,61.0
2020-12-13-4,2.3,63.0
2020-12-13-5,2.0,63.0
2020-12-13-6,1.0,73.0
2020-12-13-7,0.7,78.0
2020-12-13-8,0.9,74.0
2020-12-13-9,2.5,66.0
2020-12-13-10,4.2,54.0
2020-12-13-11,5.7,47.0
2020-12-13-12,7.4,45.0
2020-12-13-13,9.0,51.0
2020-12-13-14,9.8,56.0
2020-12-13-15,7.8,93.0
2020-12-13-16,6.6,89.0
2020-12-13-17,5.7,76.0
2020-12-13-18,4.2,67.0
2020-12-13-19,3.5,66.0
2020-12-13-20,2.7,72.0
2020-12-13-21,1.6,77.0
2020-12-13-22,1.4,53.0
2020-12-13-23,1.1,47.0
2020-12-14-0,0.7,47.0
2020-12-14-1,0.2,50.0
2020-12-14-2,-0.1,54.0
2020-12-14-3,-0.7,64.0
2020-12-14-4,-1.4,72.0
2020-12-14-5,-1.4,57.0
2020-12-14-6,-1.7,53.0
2020-12-14-7,-2.1,49.0
2020-12-14-8,-2.6,48.0
2020-12-14-9,-1.8,46.0
2020-12-14-10,-1.1,43.0
2020-12-14-11,-0.4,40.0
2020-12-14-12,0.2,39.0
2020-12-14-13,0.4,34.0
2020-12-14-14,0.4,33.0
2020-12-14-15,0.2,32.0
2020-12-14-16,-0.2,34.0
2020-12-14-17,-1.4,39.0
2020-12-14-18,-1.9,40.0
2020-12-14-19,-2.3,41.0
2020-12-14-20,-2.5,41.0
2020-12-14-21,-2.9,45.0
2020-12-14-22,-3.4,42.0
2020-12-14-23,-3.9,47.0
2020-12-15-0,-3.8,48.0
2020-12-15-1,-4.3,52.0
2020-12-15-2,-4.7,59.0
2020-12-15-3,-4.4,57.0
2020-12-15-4,-4.8,60.0
2020-12-15-5,-4.9,63.0
2020-12-15-6,-5.2,63.0
2020-12-15-7,-5.5,55.0
2020-12-15-8,-5.6,54.0
2020-12-15-9,-4.4,45.0
2020-12-15-10,-3.2,41.0
2020-12-15-11,-1.7,37.0
2020-12-15-12,-0.8,37.0
2020-12-15-13,0.8,34.0
2020-12-15-14,0.9,32.0
2020-12-15-15,1.6,31.0
2020-12-15-16,0.7,33.0
2020-12-15-17,-0.5,37.0
2020-12-15-18,-1.9,43.0
2020-12-15-19,-2.1,44.0
2020-12-15-20,-2.6,47.0
2020-12-15-21,-2.9,48.0
2020-12-15-22,-3.4,50.0
2020-12-15-23,-3.1,49.0
2020-12-16-0,-3.3,51.0
2020-12-16-1,-3.1,52.0
2020-12-16-2,-3.5,60.0
2020-12-16-3,-3.5,65.0
2020-12-16-4,-3.7,69.0
2020-12-16-5,-3.9,74.0
2020-12-16-6,-4.2,73.0
2020-12-16-7,-4.7,73.0
2020-12-16-8,-4.7,72.0
2020-12-16-9,-3.1,62.0
2020-12-16-10,-2.6,57.0
2020-12-16-11,-1.4,54.0
2020-12-16-12,0.1,46.0
2020-12-16-13,0.2,44.0
2020-12-16-14,0.6,40.0
2020-12-16-15,0.4,43.0
2020-12-16-16,0.2,45.0
2020-12-16-17,-1.0,49.0
2020-12-16-18,-1.8,56.0
2020-12-16-19,-2.2,60.0
2020-12-16-20,-2.2,65.0
2020-12-16-21,-2.5,66.0
2020-12-16-22,-2.8,67.0
2020-12-16-23,-2.9,66.0
2020-12-17-0,-3.3,66.0
2020-12-17-1,-3.1,65.0
2020-12-17-2,-3.3,66.0
2020-12-17-3,-3.6,66.0
2020-12-17-4,-4.0,64.0
2020-12-17-5,-3.5,61.0
2020-12-17-6,-3.5,59.0
2020-12-17-7,-4.2,65.0
2020-12-17-8,-4.3,66.0
2020-12-17-9,-2.2,58.0
2020-12-17-10,-0.4,55.0
2020-12-17-11,0.9,50.0
2020-12-17-12,2.4,47.0
2020-12-17-13,3.0,45.0
2020-12-17-14,4.0,44.0
2020-12-17-15,4.5,43.0
2020-12-17-16,4.5,43.0
2020-12-17-17,3.3,47.0
2020-12-17-18,1.2,51.0
2020-12-17-19,0.4,52.0
2020-12-17-20,0.4,51.0
2020-12-17-21,0.2,56.0
2020-12-17-22,-0.1,57.0
2020-12-17-23,-0.6,59.0
2020-12-18-0,-1.3,63.0
2020-12-18-1,-1.5,65.0
2020-12-18-2,-2.1,72.0
2020-12-18-3,-1.6,71.0
2020-12-18-4,-1.6,71.0
2020-12-18-5,-1.3,70.0
2020-12-18-6,-1.2,68.0
2020-12-18-7,-1.3,71.0
2020-12-18-8,-1.4,72.0
2020-12-18-9,-0.4,69.0
2020-12-18-10,1.1,61.0
2020-12-18-11,2.8,55.0
2020-12-18-12,5.3,53.0
2020-12-18-13,6.2,50.0
2020-12-18-14,4.2,74.0
2020-12-18-15,5.4,74.0
2020-12-18-16,4.9,64.0
2020-12-18-17,3.5,62.0
2020-12-18-18,2.8,61.0
2020-12-18-19,2.1,57.0
2020-12-18-20,2.1,53.0
2020-12-18-21,1.9,50.0
2020-12-18-22,1.7,53.0
2020-12-18-23,1.5,53.0
2020-12-19-0,1.5,56.0
2020-12-19-1,1.4,55.0
2020-12-19-2,0.6,52.0
2020-12-19-3,-0.4,54.0
2020-12-19-4,-0.8,54.0
2020-12-19-5,-1.7,57.0
2020-12-19-6,-2.4,55.0
2020-12-19-7,-3.4,54.0
2020-12-19-8,-3.8,45.0
2020-12-19-9,-2.8,36.0
2020-12-19-10,-1.6,26.0
2020-12-19-11,0.2,14.0
2020-12-19-12,1.6,9.0
2020-12-19-13,2.1,8.0
2020-12-19-14,2.8,10.0
2020-12-19-15,2.5,10.0
2020-12-19-16,2.1,14.0
2020-12-19-17,0.9,19.0
2020-12-19-18,-0.4,22.0
2020-12-19-19,-0.8,28.0
2020-12-19-20,-1.3,25.0
2020-12-19-21,-1.8,28.0
2020-12-19-22,-0.9,30.0
2020-12-19-23,-0.7,32.0
2020-12-20-0,-0.9,35.0
2020-12-20-1,-1.1,36.0
2020-12-20-2,-1.3,35.0
2020-12-20-3,-1.3,32.0
2020-12-20-4,-1.5,35.0
2020-12-20-5,-2.4,38.0
2020-12-20-6,-2.5,49.0
2020-12-20-7,-2.2,55.0
2020-12-20-8,-2.0,57.0
2020-12-20-9,-0.2,49.0
2020-12-20-10,1.3,41.0
2020-12-20-11,2.4,37.0
2020-12-20-12,3.3,38.0
2020-12-20-13,5.1,37.0
2020-12-20-14,4.5,41.0
2020-12-20-15,5.1,42.0
2020-12-20-16,3.8,47.0
2020-12-20-17,3.4,49.0
2020-12-20-18,2.7,47.0
2020-12-20-19,1.8,47.0
2020-12-20-20,0.6,52.0
2020-12-20-21,0.3,51.0
2020-12-20-22,-0.6,54.0
2020-12-20-23,-0.3,53.0
2020-12-21-0,-0.5,54.0
2020-12-21-1,-1.0,57.0
2020-12-21-2,-1.8,62.0
2020-12-21-3,-1.8,62.0
2020-12-21-4,-2.2,67.0
2020-12-21-5,-2.7,71.0
2020-12-21-6,-2.9,74.0
2020-12-21-7,-2.3,73.0
2020-12-21-8,-2.6,71.0
2020-12-21-9,-1.3,69.0
2020-12-21-10,-0.4,65.0
2020-12-21-11,1.2,57.0
2020-12-21-12,2.1,55.0
2020-12-21-13,4.6,50.0
2020-12-21-14,6.0,47.0
2020-12-21-15,6.8,45.0
2020-12-21-16,5.9,42.0
2020-12-21-17,5.4,46.0
2020-12-21-18,4.5,51.0
2020-12-21-19,4.0,54.0
2020-12-21-20,3.7,55.0
2020-12-21-21,1.9,65.0
2020-12-21-22,1.5,67.0
2020-12-21-23,1.0,70.0
2020-12-22-0,0.6,71.0
2020-12-22-1,0.3,76.0
2020-12-22-2,-0.3,80.0
2020-12-22-3,-1.3,83.0
2020-12-22-4,-1.1,82.0
2020-12-22-5,-0.6,81.0
2020-12-22-6,-0.3,80.0
2020-12-22-7,-0.1,80.0
2020-12-22-8,0.0,81.0
2020-12-22-9,0.9,76.0
2020-12-22-10,2.2,72.0
2020-12-22-11,3.7,63.0
2020-12-22-12,4.3,61.0
2020-12-22-13,4.5,56.0
2020-12-22-14,6.7,50.0
2020-12-22-15,7.0,56.0
2020-12-22-16,7.1,59.0
2020-12-22-17,6.7,61.0
2020-12-22-18,5.7,67.0
2020-12-22-19,4.7,71.0
2020-12-22-20,3.8,77.0
2020-12-22-21,3.0,79.0
2020-12-22-22,2.6,86.0
2020-12-22-23,1.7,88.0
2020-12-23-0,1.2,92.0
2020-12-23-1,0.7,94.0
2020-12-23-2,0.5,94.0
2020-12-23-3,0.2,94.0
2020-12-23-4,-0.1,94.0
2020-12-23-5,-0.7,94.0
2020-12-23-6,-1.0,94.0
2020-12-23-7,-0.9,95.0
2020-12-23-8,-1.0,95.0
2020-12-23-9,0.4,93.0
2020-12-23-10,1.6,85.0
2020-12-23-11,3.0,80.0
2020-12-23-12,4.9,71.0
2020-12-23-13,6.7,62.0
2020-12-23-14,8.1,56.0
2020-12-23-15,9.1,54.0
2020-12-23-16,9.4,55.0
2020-12-23-17,8.3,61.0
2020-12-23-18,7.5,66.0
2020-12-23-19,6.8,71.0
2020-12-23-20,6.0,75.0
2020-12-23-21,6.0,75.0
2020-12-23-22,5.7,78.0
2020-12-23-23,5.1,83.0
2020-12-24-0,4.2,87.0
2020-12-24-1,3.5,90.0
2020-12-24-2,3.7,88.0
2020-12-24-3,3.3,90.0
2020-12-24-4,3.5,88.0
2020-12-24-5,3.2,89.0
2020-12-24-6,3.0,90.0
2020-12-24-7,3.0,93.0
2020-12-24-8,2.9,93.0
2020-12-24-9,3.5,91.0
2020-12-24-10,5.3,83.0
2020-12-24-11,7.6,69.0
2020-12-24-12,9.8,49.0
2020-12-24-13,10.2,41.0
2020-12-24-14,10.0,39.0
2020-12-24-15,9.2,33.0
2020-12-24-16,7.8,32.0
2020-12-24-17,6.5,40.0
2020-12-24-18,5.4,45.0
2020-12-24-19,4.7,47.0
2020-12-24-20,4.3,50.0
2020-12-24-21,3.8,50.0
2020-12-24-22,3.4,55.0
2020-12-24-23,3.0,58.0
2020-12-25-0,2.8,63.0
2020-12-25-1,1.1,87.0
2020-12-25-2,1.6,77.0
2020-12-25-3,1.9,74.0
2020-12-25-4,1.7,74.0
2020-12-25-5,2.0,78.0
2020-12-25-6,1.7,91.0
2020-12-25-7,1.4,94.0
2020-12-25-8,1.4,92.0
2020-12-25-9,1.7,81.0
2020-12-25-10,2.2,69.0
2020-12-25-11,3.6,58.0
2020-12-25-12,4.5,51.0
2020-12-25-13,4.5,51.0
2020-12-25-14,4.9,47.0
2020-12-25-15,6.7,43.0
2020-12-25-16,5.5,48.0
2020-12-25-17,4.5,50.0
2020-12-25-18,3.5,52.0
2020-12-25-19,2.2,55.0
2020-12-25-20,1.9,57.0
2020-12-25-21,1.6,59.0
2020-12-25-22,1.7,59.0
2020-12-25-23,0.7,66.0
2020-12-26-0,-0.1,76.0
2020-12-26-1,-0.4,78.0
2020-12-26-2,-0.2,77.0
2020-12-26-3,-0.3,75.0
2020-12-26-4,-0.5,78.0
2020-12-26-5,-1.2,80.0
2020-12-26-6,-0.9,81.0
2020-12-26-7,-0.7,79.0
2020-12-26-8,-0.8,81.0
2020-12-26-9,0.7,74.0
2020-12-26-10,2.2,68.0
2020-12-26-11,4.4,57.0
2020-12-26-12,6.7,51.0
2020-12-26-13,8.5,43.0
2020-12-26-14,9.4,39.0
2020-12-26-15,8.8,40.0
2020-12-26-16,9.1,41.0
2020-12-26-17,8.4,44.0
2020-12-26-18,6.5,52.0
2020-12-26-19,6.4,52.0
2020-12-26-20,6.2,53.0
2020-12-26-21,5.3,57.0
2020-12-26-22,5.0,57.0
2020-12-26-23,4.6,61.0
2020-12-27-0,4.6,61.0
2020-12-27-1,4.4,65.0
2020-12-27-2,4.3,63.0
2020-12-27-3,4.4,62.0
2020-12-27-4,4.7,60.0
2020-12-27-5,4.8,58.0
2020-12-27-6,4.5,57.0
2020-12-27-7,4.3,59.0
2020-12-27-8,4.8,59.0
2020-12-27-9,5.8,57.0
2020-12-27-10,6.6,54.0
2020-12-27-11,6.1,68.0
2020-12-27-12,6.2,80.0
2020-12-27-13,6.2,91.0
2020-12-27-14,6.3,95.0
2020-12-27-15,6.2,96.0
2020-12-27-16,5.9,98.0
2020-12-27-17,5.8,98.0
2020-12-27-18,5.6,99.0
2020-12-27-19,5.5,99.0
2020-12-27-20,5.0,98.0
2020-12-27-21,4.8,99.0
2020-12-27-22,4.6,99.0
2020-12-27-23,4.1,99.0
2020-12-28-0,4.1,99.0
2020-12-28-1,3.8,99.0
2020-12-28-2,2.9,99.0
2020-12-28-3,2.6,99.0
2020-12-28-4,1.7,99.0
2020-12-28-5,1.3,99.0
2020-12-28-6,0.9,99.0
2020-12-28-7,0.7,99.0
2020-12-28-8,1.0,99.0
2020-12-28-9,1.1,99.0
2020-12-28-10,1.8,99.0
2020-12-28-11,3.2,99.0
2020-12-28-12,5.9,99.0
2020-12-28-13,9.4,87.0
2020-12-28-14,12.4,59.0
2020-12-28-15,13.1,53.0
2020-12-28-16,13.2,60.0
2020-12-28-17,12.1,60.0
2020-12-28-18,10.2,73.0
2020-12-28-19,9.2,81.0
2020-12-28-20,7.9,89.0
2020-12-28-21,7.1,93.0
2020-12-28-22,5.8,96.0
2020-12-28-23,5.7,97.0
2020-12-29-0,5.5,98.0
2020-12-29-1,4.7,98.0
2020-12-29-2,4.1,98.0
2020-12-29-3,3.0,98.0
2020-12-29-4,3.5,99.0
2020-12-29-5,2.7,98.0
2020-12-29-6,2.3,98.0
2020-12-29-7,1.9,98.0
2020-12-29-8,3.0,98.0
2020-12-29-9,3.2,97.0
2020-12-29-10,4.7,95.0
2020-12-29-11,6.9,85.0
2020-12-29-12,8.5,76.0
2020-12-29-13,9.9,65.0
2020-12-29-14,8.3,57.0
2020-12-29-15,7.1,67.0
2020-12-29-16,5.8,74.0
2020-12-29-17,3.6,87.0
2020-12-29-18,2.3,95.0
2020-12-29-19,1.2,96.0
2020-12-29-20,0.8,96.0
2020-12-29-21,0.3,97.0
2020-12-29-22,-0.1,97.0
2020-12-29-23,-0.3,93.0
2020-12-30-0,-0.4,89.0
2020-12-30-1,-0.8,87.0
2020-12-30-2,-1.3,93.0
2020-12-30-3,-2.2,92.0
2020-12-30-4,-2.6,90.0
2020-12-30-5,-3.2,90.0
2020-12-30-6,-3.8,86.0
2020-12-30-7,-4.2,92.0
2020-12-30-8,-4.6,94.0
2020-12-30-9,-4.9,93.0
2020-12-30-10,-4.5,94.0
2020-12-30-11,-4.9,93.0
2020-12-30-12,-4.3,88.0
2020-12-30-13,-4.9,87.0
2020-12-30-14,-5.0,85.0
2020-12-30-15,-5.0,86.0
2020-12-30-16,-5.3,83.0
2020-12-30-17,-5.8,91.0
2020-12-30-18,-6.2,93.0
2020-12-30-19,-6.3,93.0
2020-12-30-20,-6.5,90.0
2020-12-30-21,-6.8,87.0
2020-12-30-22,-7.2,89.0
2020-12-30-23,-7.8,89.0
2020-12-31-0,-7.8,87.0
2020-12-31-1,-8.1,82.0
2020-12-31-2,-8.7,80.0
2020-12-31-3,-8.3,80.0
2020-12-31-4,-8.7,76.0
2020-12-31-5,-8.2,77.0
2020-12-31-6,-8.4,77.0
2020-12-31-7,-8.5,77.0
2020-12-31-8,-8.9,77.0
2020-12-31-9,-7.0,73.0
2020-12-31-10,-5.3,65.0
2020-12-31-11,-4.3,66.0
2020-12-31-12,-3.6,64.0
2020-12-31-13,-2.3,63.0
2020-12-31-14,-2.5,76.0
2020-12-31-15,-1.9,78.0
2020-12-31-16,-2.3,86.0
2020-12-31-17,-2.4,94.0
2020-12-31-18,-2.1,96.0
2020-12-31-19,-1.8,97.0
2020-12-31-20,-1.0,95.0
2020-12-31-21,-1.3,91.0
2020-12-31-22,-0.8,77.0
2020-12-31-23,-1.6,93.0
2021-01-01-0,-1.8,79.0
2021-01-01-1,-2.9,83.0
2021-01-01-2,-2.9,81.0
2021-01-01-3,-2.8,86.0
2021-01-01-4,-2.9,87.0
2021-01-01-5,-4.1,93.0
2021-01-01-6,-4.8,92.0
2021-01-01-7,-4.3,94.0
2021-01-01-8,-3.9,95.0
2021-01-01-9,-3.0,95.0
2021-01-01-10,-2.5,93.0
2021-01-01-11,-0.9,86.0
2021-01-01-12,0.4,79.0
2021-01-01-13,1.5,74.0
2021-01-01-14,1.7,74.0
2021-01-01-15,2.8,70.0
2021-01-01-16,2.4,63.0
2021-01-01-17,2.1,67.0
2021-01-01-18,1.1,78.0
2021-01-01-19,1.5,72.0
2021-01-01-20,1.8,68.0
2021-01-01-21,1.1,76.0
2021-01-01-22,0.8,84.0
2021-01-01-23,0.7,87.0
2021-01-02-0,0.7,89.0
2021-01-02-1,0.2,95.0
2021-01-02-2,0.1,97.0
2021-01-02-3,-0.1,98.0
2021-01-02-4,0.2,98.0
2021-01-02-5,0.0,98.0
2021-01-02-6,0.1,98.0
2021-01-02-7,0.0,98.0
2021-01-02-8,-0.5,97.0
2021-01-02-9,-0.3,94.0
2021-01-02-10,0.7,79.0
2021-01-02-11,1.4,64.0
2021-01-02-12,1.5,55.0
2021-01-02-13,2.2,48.0
2021-01-02-14,2.5,46.0
2021-01-02-15,2.4,38.0
2021-01-02-16,1.7,33.0
2021-01-02-17,0.2,41.0
2021-01-02-18,-0.6,48.0
2021-01-02-19,-1.0,51.0
2021-01-02-20,-1.9,54.0
2021-01-02-21,-2.3,54.0
2021-01-02-22,-2.6,55.0
2021-01-02-23,-3.1,58.0
2021-01-03-0,-2.9,57.0
2021-01-03-1,-2.6,56.0
2021-01-03-2,-2.6,62.0
2021-01-03-3,-2.7,59.0
2021-01-03-4,-2.6,56.0
2021-01-03-5,-2.7,55.0
2021-01-03-6,-2.8,56.0
2021-01-03-7,-2.9,59.0
2021-01-03-8,-3.2,57.0
2021-01-03-9,-2.2,52.0
2021-01-03-10,-0.7,45.0
2021-01-03-11,0.3,42.0
2021-01-03-12,1.1,43.0
2021-01-03-13,2.3,44.0
2021-01-03-14,3.4,42.0
2021-01-03-15,2.8,47.0
2021-01-03-16,2.3,49.0
2021-01-03-17,1.5,51.0
2021-01-03-18,0.8,54.0
2021-01-03-19,0.5,55.0
2021-01-03-20,0.1,58.0
2021-01-03-21,-0.3,58.0
2021-01-03-22,-0.5,58.0
2021-01-03-23,-0.7,61.0
2021-01-04-0,-1.3,68.0
2021-01-04-1,-1.2,70.0
2021-01-04-2,-2.3,74.0
2021-01-04-3,-2.5,76.0
2021-01-04-4,-2.5,77.0
2021-01-04-5,-2.9,81.0
2021-01-04-6,-3.5,84.0
2021-01-04-7,-2.8,73.0
2021-01-04-8,-2.3,64.0
2021-01-04-9,-2.8,83.0
2021-01-04-10,-0.7,63.0
2021-01-04-11,0.8,56.0
2021-01-04-12,3.6,48.0
2021-01-04-13,4.7,49.0
2021-01-04-14,5.8,46.0
2021-01-04-15,6.6,48.0
2021-01-04-16,5.6,57.0
2021-01-04-17,4.5,61.0
2021-01-04-18,4.1,62.0
2021-01-04-19,3.3,72.0
2021-01-04-20,2.7,81.0
2021-01-04-21,2.2,83.0
2021-01-04-22,1.9,86.0
2021-01-04-23,1.4,88.0
2021-01-05-0,1.7,90.0
2021-01-05-1,1.3,93.0
2021-01-05-2,1.2,92.0
2021-01-05-3,1.1,92.0
2021-01-05-4,1.2,93.0
2021-01-05-5,1.2,95.0
2021-01-05-6,1.4,94.0
2021-01-05-7,1.9,84.0
2021-01-05-8,1.1,67.0
2021-01-05-9,1.7,62.0
2021-01-05-10,2.7,58.0
2021-01-05-11,2.9,50.0
2021-01-05-12,2.1,54.0
2021-01-05-13,1.6,54.0
2021-01-05-14,1.3,50.0
2021-01-05-15,0.3,49.0
2021-01-05-16,-0.2,48.0
2021-01-05-17,-0.8,47.0
2021-01-05-18,-1.5,48.0
2021-01-05-19,-2.1,49.0
2021-01-05-20,-2.5,52.0
2021-01-05-21,-2.8,55.0
2021-01-05-22,-3.2,58.0
2021-01-05-23,-3.5,63.0
2021-01-06-0,-4.0,65.0
2021-01-06-1,-4.3,64.0
2021-01-06-2,-4.9,62.0
2021-01-06-3,-5.1,61.0
2021-01-06-4,-5.1,60.0
2021-01-06-5,-5.4,61.0
2021-01-06-6,-5.4,59.0
2021-01-06-7,-5.4,62.0
2021-01-06-8,-4.9,57.0
2021-01-06-9,-4.5,55.0
2021-01-06-10,-3.9,55.0
2021-01-06-11,-1.8,53.0
2021-01-06-12,-0.8,51.0
2021-01-06-13,-0.8,51.0
2021-01-06-14,0.1,50.0
2021-01-06-15,1.5,44.0
2021-01-06-16,0.4,48.0
2021-01-06-17,-0.3,55.0
2021-01-06-18,-1.8,81.0
2021-01-06-19,-1.8,87.0
2021-01-06-20,-1.7,84.0
2021-01-06-21,-1.5,83.0
2021-01-06-22,-1.9,92.0
